OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
06/29/2024,01:00,21707.02,16398.91,9226.23,16168.79,63500.96,N
06/29/2024,02:00,20504.64,15647.82,9167.57,15599.67,60919.71,N
06/29/2024,03:00,19522.69,14984.50,9020.84,15131.25,58659.28,N
06/29/2024,04:00,18869.70,14549.70,8856.74,14838.44,57114.58,N
06/29/2024,05:00,18464.96,14161.25,8642.94,14599.24,55868.40,N
06/29/2024,06:00,18288.96,13945.30,8541.24,14432.03,55207.54,N
06/29/2024,07:00,18188.39,13752.17,8546.33,14279.10,54765.99,N
06/29/2024,08:00,18424.65,13865.82,8666.24,14580.28,55536.99,N
06/29/2024,09:00,19796.60,14764.05,8885.39,15753.55,59199.59,N
06/29/2024,10:00,21448.47,16005.72,9081.04,16829.12,63364.35,N
06/29/2024,11:00,22598.37,17052.27,9124.01,17963.58,66738.23,N
06/29/2024,12:00,24031.13,18034.00,9307.28,18931.93,70304.34,N
06/29/2024,13:00,25360.60,18882.63,9575.95,19767.87,73587.05,N
06/29/2024,14:00,26628.13,19622.18,9716.70,20402.70,76369.70,N
06/29/2024,15:00,27511.72,20186.77,9813.22,20705.26,78216.97,N
06/29/2024,16:00,28235.71,20638.26,9849.55,20940.82,79664.34,N
06/29/2024,17:00,28698.74,20696.07,9403.41,20715.99,79514.21,N
06/29/2024,18:00,28914.22,20844.26,9452.67,20325.40,79536.55,N
06/29/2024,19:00,28701.98,20758.84,9456.65,19810.54,78728.02,N
06/29/2024,20:00,27915.39,20183.03,9714.92,19076.42,76889.76,N
06/29/2024,21:00,26501.98,19280.48,9187.44,18298.32,73268.21,N
06/29/2024,22:00,25418.86,18623.98,9173.19,17787.26,71003.29,N
06/29/2024,23:00,24311.09,17749.14,9435.36,17102.68,68598.28,N
06/29/2024,24:00,22872.25,16688.85,9395.56,16344.49,65301.15,N
06/28/2024,01:00,20728.37,15986.21,8948.70,16123.09,61786.37,N
06/28/2024,02:00,19544.37,15140.94,8817.61,15474.51,58977.43,N
06/28/2024,03:00,18574.20,14406.19,8670.03,15002.96,56653.38,N
06/28/2024,04:00,18067.57,13933.81,8640.88,14781.13,55423.39,N
06/28/2024,05:00,17964.07,13725.49,8651.12,14735.45,55076.12,N
06/28/2024,06:00,18236.13,13641.77,8617.62,14917.31,55412.83,N
06/28/2024,07:00,18468.91,13757.70,8569.43,14935.31,55731.36,N
06/28/2024,08:00,18965.27,14019.77,8753.87,15197.35,56936.26,N
06/28/2024,09:00,20470.66,14905.98,8979.32,16199.51,60555.48,N
06/28/2024,10:00,22159.85,15977.07,9324.13,17025.65,64486.70,N
06/28/2024,11:00,24108.52,17015.18,9496.23,18085.95,68705.89,N
06/28/2024,12:00,25724.38,18000.85,9517.00,19035.33,72277.55,N
06/28/2024,13:00,27440.59,18958.27,9765.47,19936.19,76100.52,N
06/28/2024,14:00,28690.10,19848.33,9686.76,20644.22,78869.41,N
06/28/2024,15:00,29428.25,20349.43,9232.10,20860.36,79870.14,N
06/28/2024,16:00,29549.14,20379.60,9099.63,20831.34,79859.71,N
06/28/2024,17:00,29764.96,20504.00,9018.72,20732.27,80019.95,N
06/28/2024,18:00,29702.45,20705.99,9073.17,20389.42,79871.03,N
06/28/2024,19:00,29415.39,20794.67,9259.10,19903.84,79373.00,N
06/28/2024,20:00,28523.11,20429.71,9408.33,19475.66,77836.82,N
06/28/2024,21:00,27184.33,19703.19,9260.08,18839.28,74986.87,N
06/28/2024,22:00,26426.78,19150.35,9577.53,18365.21,73519.87,N
06/28/2024,23:00,24990.14,18342.17,9432.66,17697.08,70462.05,N
06/28/2024,24:00,23305.43,17478.05,9310.85,16908.56,67002.88,N
06/27/2024,01:00,20886.68,15614.18,8963.86,15267.51,60732.23,N
06/27/2024,02:00,19598.66,14688.52,8892.70,14639.04,57818.91,N
06/27/2024,03:00,18520.69,14025.41,8667.11,14131.21,55344.41,N
06/27/2024,04:00,17918.27,13532.16,8430.12,13873.98,53754.53,N
06/27/2024,05:00,17695.76,13279.31,8410.00,13842.24,53227.31,N
06/27/2024,06:00,17809.48,13287.97,8269.41,14152.91,53519.76,N
06/27/2024,07:00,18156.65,13512.81,8354.99,14374.39,54398.84,N
06/27/2024,08:00,18688.26,13841.33,8692.07,14842.93,56064.59,N
06/27/2024,09:00,19957.43,14630.44,9193.61,15774.32,59555.79,N
06/27/2024,10:00,21575.01,15767.32,9361.85,16764.09,63468.28,N
06/27/2024,11:00,23149.28,16812.31,9393.34,17849.76,67204.68,N
06/27/2024,12:00,24837.65,18158.60,9411.68,18919.33,71327.26,N
06/27/2024,13:00,26291.97,19334.42,9552.16,19831.99,75010.54,N
06/27/2024,14:00,27650.05,20253.27,9590.65,20381.20,77875.18,N
06/27/2024,15:00,28594.72,20521.91,9618.07,20458.72,79193.42,N
06/27/2024,16:00,28887.95,20980.31,9097.23,20669.90,79635.38,N
06/27/2024,17:00,29149.05,21051.25,9063.77,20805.32,80069.39,N
06/27/2024,18:00,29067.14,21299.71,9109.81,20562.77,80039.43,N
06/27/2024,19:00,28839.87,21230.17,9233.24,20245.54,79548.82,N
06/27/2024,20:00,28202.27,20767.53,9569.53,19737.18,78276.49,N
06/27/2024,21:00,26787.82,20151.71,9675.96,19149.40,75764.89,N
06/27/2024,22:00,25556.26,19577.62,9368.49,18588.53,73090.90,N
06/27/2024,23:00,24112.11,18531.96,9252.26,17819.59,69715.93,N
06/27/2024,24:00,22387.29,17276.88,9303.31,16925.70,65893.18,N
06/26/2024,01:00,21349.64,15925.56,9114.55,15712.75,62102.50,N
06/26/2024,02:00,20239.68,15027.23,8907.79,15036.76,59211.46,N
06/26/2024,03:00,19389.43,14243.05,8780.86,14570.09,56983.43,N
06/26/2024,04:00,18861.33,14020.54,8745.66,14333.56,55961.10,N
06/26/2024,05:00,18689.63,13694.71,8633.63,14174.45,55192.42,N
06/26/2024,06:00,18911.46,13654.41,8592.54,14385.47,55543.88,N
06/26/2024,07:00,19279.66,13737.51,8626.45,14637.52,56281.13,N
06/26/2024,08:00,19685.11,14057.20,8733.44,15067.29,57543.05,N
