OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
07/30/2018,01:00,18886.68,13428.38,4732.92,13481.31,50529.29,N
07/30/2018,02:00,17695.75,12548.14,4620.34,12778.57,47642.81,N
07/30/2018,03:00,16799.19,11874.93,4535.99,12320.51,45530.62,N
07/30/2018,04:00,16215.32,11483.12,4460.11,12085.15,44243.70,N
07/30/2018,05:00,15967.70,11281.93,4405.31,12072.58,43727.52,N
07/30/2018,06:00,16225.52,11543.48,4403.58,12331.89,44504.47,N
07/30/2018,07:00,16838.18,12006.30,4441.65,12634.53,45920.67,N
07/30/2018,08:00,17038.91,12207.32,4436.87,12809.33,46492.43,N
07/30/2018,09:00,17077.25,12838.36,4496.81,13521.54,47933.97,N
07/30/2018,10:00,17256.44,13797.27,4637.56,14535.07,50226.34,N
07/30/2018,11:00,17511.21,14924.92,4767.78,15619.37,52823.28,N
07/30/2018,12:00,17942.63,16111.17,4847.98,16512.67,55414.45,N
07/30/2018,13:00,18417.10,17096.47,4934.24,17074.68,57522.49,N
07/30/2018,14:00,19060.73,17899.45,5047.56,17627.26,59635.00,N
07/30/2018,15:00,20078.30,18494.77,5171.44,18249.86,61994.38,N
07/30/2018,16:00,21392.26,18941.44,5313.82,18616.96,64264.49,N
07/30/2018,17:00,22632.82,19234.64,5387.81,18708.21,65963.48,N
07/30/2018,18:00,23231.50,19222.14,5391.62,18362.01,66207.28,N
07/30/2018,19:00,23195.38,18871.29,5371.56,17547.48,64985.70,N
07/30/2018,20:00,22418.20,18254.56,5261.06,16773.96,62707.78,N
07/30/2018,21:00,21591.68,17613.64,5142.21,16303.45,60650.99,N
07/30/2018,22:00,20831.60,16949.90,5055.84,15768.02,58605.37,N
07/30/2018,23:00,19286.21,15798.01,4780.92,14867.79,54732.94,N
07/30/2018,24:00,17579.78,14517.61,4485.66,14005.15,50588.19,N
07/29/2018,01:00,18286.09,13206.97,4641.43,13461.95,49596.45,N
07/29/2018,02:00,17224.91,12381.64,4505.48,12788.02,46900.06,N
07/29/2018,03:00,16432.98,11690.75,4400.88,12245.25,44769.86,N
07/29/2018,04:00,15778.33,11177.21,4302.15,11844.98,43102.67,N
07/29/2018,05:00,15296.28,10821.52,4241.79,11599.79,41959.38,N
07/29/2018,06:00,15033.86,10650.54,4207.07,11444.36,41335.83,N
07/29/2018,07:00,14847.77,10638.55,4200.52,11327.14,41013.98,N
07/29/2018,08:00,14837.46,10634.68,4185.31,11337.79,40995.25,N
07/29/2018,09:00,15833.24,11345.99,4316.55,12132.08,43627.86,N
07/29/2018,10:00,17605.90,12479.17,4545.87,13272.00,47902.94,N
07/29/2018,11:00,19540.78,13711.74,4747.74,14404.95,52405.20,N
07/29/2018,12:00,20959.70,14946.17,4899.72,15475.53,56281.12,N
07/29/2018,13:00,21813.14,15997.67,5090.24,16400.18,59301.24,N
07/29/2018,14:00,22781.10,16955.85,5274.91,17164.59,62176.45,N
07/29/2018,15:00,24082.04,17731.04,5411.78,17791.17,65016.04,N
07/29/2018,16:00,25208.11,18246.08,5546.44,18236.59,67237.22,N
07/29/2018,17:00,26013.71,18548.31,5584.43,18375.68,68522.13,N
07/29/2018,18:00,26298.31,18639.68,5602.77,18329.13,68869.89,N
07/29/2018,19:00,26154.23,18533.11,5634.98,18045.42,68367.74,N
07/29/2018,20:00,25371.25,18023.38,5561.76,17486.03,66442.42,N
07/29/2018,21:00,24485.56,17402.24,5419.72,17036.95,64344.46,N
07/29/2018,22:00,23632.05,16811.99,5323.38,16520.11,62287.54,N
07/29/2018,23:00,22053.18,15749.18,5104.03,15537.97,58444.36,N
07/29/2018,24:00,20372.62,14547.06,4859.67,14502.27,54281.63,N
07/28/2018,01:00,17478.51,12764.01,4598.47,13211.94,48052.92,N
07/28/2018,02:00,16605.85,11947.18,4476.50,12611.52,45641.04,N
07/28/2018,03:00,15958.59,11305.52,4393.27,12081.21,43738.59,N
07/28/2018,04:00,15444.73,10841.00,4311.44,11710.48,42307.65,N
07/28/2018,05:00,15161.31,10479.54,4251.66,11495.31,41387.82,N
07/28/2018,06:00,15119.08,10390.45,4221.35,11428.16,41159.04,N
07/28/2018,07:00,15220.04,10446.44,4211.06,11407.94,41285.48,N
07/28/2018,08:00,15255.26,10521.07,4171.51,11505.20,41453.04,N
07/28/2018,09:00,16136.98,11327.58,4261.36,12397.99,44123.91,N
07/28/2018,10:00,17313.45,12476.17,4449.07,13607.38,47846.07,N
07/28/2018,11:00,18748.71,13685.95,4649.96,14765.37,51849.99,N
07/28/2018,12:00,20549.62,14835.71,4846.47,15836.36,56068.17,N
07/28/2018,13:00,22187.82,15865.02,5005.44,16765.99,59824.27,N
07/28/2018,14:00,23596.36,16692.35,5190.91,17442.05,62921.67,N
07/28/2018,15:00,24804.93,17330.50,5302.61,17849.67,65287.72,N
07/28/2018,16:00,25476.66,17755.39,5403.69,18126.83,66762.56,N
07/28/2018,17:00,25916.18,18083.88,5473.56,18144.64,67618.26,N
07/28/2018,18:00,26010.28,18149.29,5487.93,18035.39,67682.89,N
07/28/2018,19:00,25376.13,17980.72,5479.22,17651.38,66487.45,N
07/28/2018,20:00,24100.32,17509.34,5423.47,17070.45,64103.58,N
07/28/2018,21:00,23055.60,16814.57,5286.62,16505.43,61662.22,N
07/28/2018,22:00,22132.82,16176.17,5151.32,15962.78,59423.09,N
07/28/2018,23:00,20869.87,15213.16,4949.64,15138.53,56171.21,N
