OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
05/30/2021,01:00,12866.54,10388.95,5016.74,11845.68,40117.91,N
05/30/2021,02:00,12027.58,9769.07,4963.21,11311.42,38071.28,N
05/30/2021,03:00,11353.97,9297.46,4918.42,10895.74,36465.58,N
05/30/2021,04:00,10938.84,8930.37,4926.33,10616.45,35411.98,N
05/30/2021,05:00,10670.56,8727.49,4880.32,10453.41,34731.78,N
05/30/2021,06:00,10573.50,8678.47,4809.34,10392.28,34453.59,N
05/30/2021,07:00,10555.24,8739.92,4771.97,10310.59,34377.72,N
05/30/2021,08:00,10736.34,8928.83,4783.42,10370.73,34819.32,N
05/30/2021,09:00,11263.36,9539.66,4876.54,10720.80,36400.36,N
05/30/2021,10:00,11856.33,10317.72,4916.74,11186.17,38276.96,N
05/30/2021,11:00,12337.60,11156.52,4940.06,11958.82,40393.00,N
05/30/2021,12:00,12837.42,11936.97,4976.06,12690.83,42441.28,N
05/30/2021,13:00,13362.35,12738.93,5111.18,13427.93,44640.39,N
05/30/2021,14:00,13810.74,13428.05,5212.12,14062.12,46513.03,N
05/30/2021,15:00,14365.60,13958.71,5330.08,14432.38,48086.77,N
05/30/2021,16:00,14777.98,14117.09,5409.02,14690.14,48994.24,N
05/30/2021,17:00,15225.10,14057.78,5491.90,14790.80,49565.58,N
05/30/2021,18:00,15469.12,13871.37,5536.94,14711.42,49588.85,N
05/30/2021,19:00,15269.16,13397.48,5500.68,14379.15,48546.48,N
05/30/2021,20:00,14860.74,12952.11,5488.11,13807.23,47108.20,N
05/30/2021,21:00,14603.51,12710.87,5371.25,13526.25,46211.88,N
05/30/2021,22:00,14477.62,12478.61,5395.92,13225.79,45577.94,N
05/30/2021,23:00,13709.66,11902.45,5287.21,12677.28,43576.60,N
05/30/2021,24:00,12819.86,11168.28,5175.04,12060.32,41223.50,N
05/29/2021,01:00,12252.58,10068.73,4595.20,11074.45,37990.96,N
05/29/2021,02:00,11510.36,9427.45,4413.54,10418.46,35769.81,N
05/29/2021,03:00,10898.17,9010.03,4437.26,10032.65,34378.11,N
05/29/2021,04:00,10596.56,8748.36,4403.60,9903.69,33652.21,N
05/29/2021,05:00,10433.36,8647.38,4491.63,9803.13,33375.49,N
05/29/2021,06:00,10396.69,8604.23,4519.52,9754.97,33275.41,N
05/29/2021,07:00,10572.48,8693.87,4472.85,9725.68,33464.88,N
05/29/2021,08:00,10966.52,8940.46,4528.12,9872.28,34307.38,N
05/29/2021,09:00,11835.66,9419.78,4587.49,10469.66,36312.60,N
05/29/2021,10:00,12809.86,9967.89,4694.65,11276.18,38748.59,N
05/29/2021,11:00,13810.55,10290.65,4852.27,12126.33,41079.80,N
05/29/2021,12:00,14738.86,10766.02,4962.63,12896.38,43363.89,N
05/29/2021,13:00,15706.26,11184.92,5087.76,13465.97,45444.92,N
05/29/2021,14:00,16610.43,11681.39,5241.22,14173.91,47706.95,N
