DeliveryDate,HourEnding,AncillaryType,MCPC,DSTFlag
12/02/2025,01:00,ECRS,4.99,N
12/02/2025,01:00,REGDN,1,N
12/02/2025,01:00,REGUP,5.69,N
12/02/2025,01:00,NSPIN,4.99,N
12/02/2025,01:00,RRS,4.99,N
12/02/2025,02:00,ECRS,1.03,N
12/02/2025,02:00,NSPIN,1.06,N
12/02/2025,02:00,RRS,1.06,N
12/02/2025,02:00,REGUP,1.44,N
12/02/2025,02:00,REGDN,1.12,N
12/02/2025,03:00,NSPIN,3,N
12/02/2025,03:00,ECRS,0.89,N
12/02/2025,03:00,RRS,0.89,N
12/02/2025,03:00,REGDN,1.44,N
12/02/2025,03:00,REGUP,1.6,N
12/02/2025,04:00,ECRS,0.3,N
12/02/2025,04:00,NSPIN,1.56,N
12/02/2025,04:00,RRS,0.3,N
12/02/2025,04:00,REGUP,1.2,N
12/02/2025,04:00,REGDN,1.33,N
12/02/2025,05:00,ECRS,0.3,N
12/02/2025,05:00,RRS,0.3,N
12/02/2025,05:00,NSPIN,2,N
12/02/2025,05:00,REGUP,1.2,N
12/02/2025,05:00,REGDN,1.68,N
12/02/2025,06:00,ECRS,0.44,N
12/02/2025,06:00,REGDN,1.67,N
12/02/2025,06:00,REGUP,1.2,N
12/02/2025,06:00,RRS,0.44,N
12/02/2025,06:00,NSPIN,3.6,N
12/02/2025,07:00,ECRS,22.75,N
12/02/2025,07:00,REGDN,4.44,N
12/02/2025,07:00,REGUP,21.37,N
12/02/2025,07:00,RRS,25.75,N
12/02/2025,07:00,NSPIN,20.75,N
12/02/2025,08:00,ECRS,31.02,N
12/02/2025,08:00,NSPIN,29.57,N
12/02/2025,08:00,RRS,31.02,N
12/02/2025,08:00,REGUP,31.02,N
12/02/2025,08:00,REGDN,2.56,N
12/02/2025,09:00,ECRS,24.39,N
12/02/2025,09:00,REGDN,8.29,N
12/02/2025,09:00,REGUP,24.56,N
12/02/2025,09:00,RRS,24.39,N
12/02/2025,09:00,NSPIN,24.39,N
12/02/2025,10:00,ECRS,4.65,N
12/02/2025,10:00,NSPIN,5,N
12/02/2025,10:00,RRS,4.65,N
12/02/2025,10:00,REGDN,2.39,N
12/02/2025,10:00,REGUP,4.94,N
12/02/2025,11:00,NSPIN,3,N
12/02/2025,11:00,ECRS,2.98,N
12/02/2025,11:00,RRS,3,N
12/02/2025,11:00,REGDN,1,N
12/02/2025,11:00,REGUP,3.35,N
12/02/2025,12:00,ECRS,0.7,N
12/02/2025,12:00,RRS,1.31,N
12/02/2025,12:00,NSPIN,1.31,N
12/02/2025,12:00,REGUP,1.48,N
12/02/2025,12:00,REGDN,1,N
12/02/2025,13:00,ECRS,0.06,N
12/02/2025,13:00,NSPIN,1.51,N
12/02/2025,13:00,RRS,0.45,N
12/02/2025,13:00,REGUP,1.66,N
12/02/2025,13:00,REGDN,1.2,N
12/02/2025,14:00,ECRS,0.5,N
12/02/2025,14:00,NSPIN,1.51,N
12/02/2025,14:00,RRS,0.5,N
12/02/2025,14:00,REGUP,1.71,N
12/02/2025,14:00,REGDN,2.28,N
12/02/2025,15:00,ECRS,0.7,N
12/02/2025,15:00,NSPIN,1.2,N
12/02/2025,15:00,RRS,0.7,N
12/02/2025,15:00,REGUP,1.42,N
12/02/2025,15:00,REGDN,2.35,N
12/02/2025,16:00,NSPIN,1,N
12/02/2025,16:00,ECRS,0.7,N
12/02/2025,16:00,RRS,0.7,N
12/02/2025,16:00,REGDN,2.97,N
12/02/2025,16:00,REGUP,1.35,N
12/02/2025,17:00,ECRS,0.85,N
12/02/2025,17:00,NSPIN,1.01,N
12/02/2025,17:00,RRS,0.85,N
12/02/2025,17:00,REGUP,1.49,N
12/02/2025,17:00,REGDN,0.7,N
12/02/2025,18:00,ECRS,3,N
12/02/2025,18:00,RRS,3,N
12/02/2025,18:00,NSPIN,3,N
12/02/2025,18:00,REGUP,3.58,N
12/02/2025,18:00,REGDN,2.22,N
12/02/2025,19:00,NSPIN,5,N
12/02/2025,19:00,ECRS,5,N
12/02/2025,19:00,RRS,5,N
12/02/2025,19:00,REGDN,2.19,N
12/02/2025,19:00,REGUP,5,N
12/02/2025,20:00,ECRS,5,N
12/02/2025,20:00,NSPIN,5,N
12/02/2025,20:00,RRS,5,N
12/02/2025,20:00,REGDN,1.39,N
12/02/2025,20:00,REGUP,5,N
12/02/2025,21:00,ECRS,3,N
12/02/2025,21:00,NSPIN,3,N
12/02/2025,21:00,RRS,3.58,N
12/02/2025,21:00,REGUP,3.69,N
12/02/2025,21:00,REGDN,1,N
12/02/2025,22:00,NSPIN,3.17,N
12/02/2025,22:00,ECRS,1,N
12/02/2025,22:00,RRS,3.37,N
12/02/2025,22:00,REGDN,0.9,N
12/02/2025,22:00,REGUP,3.46,N
12/02/2025,23:00,ECRS,0.88,N
12/02/2025,23:00,NSPIN,0.97,N
12/02/2025,23:00,RRS,1.3,N
