OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
12/30/2025,01:00,18070.38,13041.31,9474.01,12078.98,52664.69,N
12/30/2025,02:00,17895.17,12707.24,9428.39,11799.50,51830.30,N
12/30/2025,03:00,17969.25,12563.38,9466.74,11639.25,51638.62,N
12/30/2025,04:00,18292.06,12466.96,9708.98,11567.50,52035.50,N
12/30/2025,05:00,19011.49,12632.94,9721.92,11719.67,53086.02,N
12/30/2025,06:00,20030.92,13059.16,9790.47,12112.61,54993.16,N
12/30/2025,07:00,21238.63,13710.71,9890.16,12614.75,57454.25,N
12/30/2025,08:00,22206.66,14348.07,9956.18,12940.17,59451.07,N
12/30/2025,09:00,21910.74,14462.63,10070.08,13138.47,59581.92,N
12/30/2025,10:00,20774.34,14258.14,10106.98,13086.83,58226.29,N
12/30/2025,11:00,19759.62,13705.77,9960.59,12859.16,56285.14,N
12/30/2025,12:00,18687.49,13022.26,9775.72,12618.76,54104.23,N
12/30/2025,13:00,17777.69,12518.82,9674.75,12355.15,52326.41,N
12/30/2025,14:00,17071.76,12133.55,9659.58,12178.96,51043.85,N
12/30/2025,15:00,16525.97,12004.84,9676.36,12010.34,50217.50,N
12/30/2025,16:00,16309.60,11928.12,9680.28,11943.78,49861.79,N
12/30/2025,17:00,16459.84,12007.92,9783.60,11923.34,50174.71,N
12/30/2025,18:00,17521.11,12613.88,9976.12,12248.53,52359.64,N
12/30/2025,19:00,18525.56,13417.58,10072.42,12620.88,54636.44,N
12/30/2025,20:00,18742.23,13578.02,10142.62,12721.62,55184.49,N
12/30/2025,21:00,18971.30,13762.33,10152.77,12774.44,55660.84,N
12/30/2025,22:00,18925.35,13799.14,10011.96,12741.44,55477.89,N
12/30/2025,23:00,18454.82,13558.05,9891.02,12492.83,54396.72,N
12/30/2025,24:00,17944.37,13154.82,9891.69,12224.51,53215.39,N
12/29/2025,01:00,14557.50,10774.61,9263.68,10784.06,45379.85,N
12/29/2025,02:00,14610.74,10345.59,9386.73,10191.27,44534.33,N
