OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
07/30/2022,01:00,20280.52,14783.57,6925.02,13555.05,55544.16,N
07/30/2022,02:00,19233.46,13922.75,6814.58,12961.69,52932.49,N
07/30/2022,03:00,18430.76,13256.32,6705.23,12509.54,50901.84,N
07/30/2022,04:00,17814.36,12543.69,6587.10,12171.19,49116.34,N
07/30/2022,05:00,17547.91,12162.60,6521.98,11941.73,48174.21,N
07/30/2022,06:00,17396.33,11933.11,6476.71,11862.16,47668.30,N
07/30/2022,07:00,17234.40,11852.46,6457.12,11893.36,47437.35,N
07/30/2022,08:00,17245.72,11923.64,6410.36,12020.39,47600.11,N
07/30/2022,09:00,18351.85,12762.57,6686.37,12905.43,50706.21,N
07/30/2022,10:00,20019.96,13936.98,6840.39,14103.18,54900.50,N
07/30/2022,11:00,21818.46,15095.17,7027.23,15063.31,59004.16,N
07/30/2022,12:00,23658.46,16310.77,7252.52,16005.77,63227.52,N
07/30/2022,13:00,25531.17,17547.22,7428.28,16727.74,67234.42,N
07/30/2022,14:00,26657.37,18539.58,7558.65,17444.92,70200.52,N
07/30/2022,15:00,27289.48,19386.87,7693.32,17912.26,72281.93,N
07/30/2022,16:00,27637.32,19981.63,7688.83,18075.16,73382.93,N
07/30/2022,17:00,27832.35,20439.81,7725.03,18113.20,74110.39,N
07/30/2022,18:00,27585.39,20510.43,7738.19,17927.27,73761.27,N
07/30/2022,19:00,26584.47,20202.02,7724.04,17535.58,72046.11,N
07/30/2022,20:00,25537.28,19526.48,7519.10,16860.88,69443.74,N
07/30/2022,21:00,24441.01,18792.84,7393.03,16344.94,66971.82,N
07/30/2022,22:00,23619.81,18005.70,7350.00,15912.13,64887.64,N
07/30/2022,23:00,22499.61,17010.85,7291.10,15190.84,61992.40,N
07/30/2022,24:00,21223.77,15915.89,7109.86,14441.44,58690.97,N
07/29/2022,01:00,21267.20,14961.87,7013.30,12903.46,56145.83,N
07/29/2022,02:00,20068.93,14013.81,6833.69,12328.94,53245.37,N
07/29/2022,03:00,19089.51,13358.04,6751.60,11927.06,51126.21,N
07/29/2022,04:00,18634.92,12820.03,6665.35,11792.88,49913.19,N
07/29/2022,05:00,18104.98,12599.89,6614.84,11742.38,49062.09,N
07/29/2022,06:00,18133.91,12725.41,6562.36,11952.90,49374.58,N
07/29/2022,07:00,18322.63,12987.83,6547.50,12183.43,50041.38,N
07/29/2022,08:00,18605.98,13100.31,6542.89,12467.03,50716.21,N
07/29/2022,09:00,19741.50,13862.83,6675.98,13450.82,53731.14,N
07/29/2022,10:00,21318.19,15001.52,6911.27,14645.92,57876.90,N
07/29/2022,11:00,23090.49,16208.21,7129.02,15780.10,62207.82,N
07/29/2022,12:00,24980.36,17524.40,7435.58,16896.14,66836.48,N
07/29/2022,13:00,26709.92,18519.41,7583.44,17721.03,70533.80,N
07/29/2022,14:00,28225.64,19592.35,7680.32,17852.49,73350.80,N
07/29/2022,15:00,29327.18,20246.92,7749.66,17547.33,74871.09,N
07/29/2022,16:00,29838.26,20805.91,7803.95,17373.36,75821.48,N
07/29/2022,17:00,29994.95,20998.14,7832.05,17751.86,76577.00,N
07/29/2022,18:00,29067.27,20967.07,7776.62,18142.70,75953.66,N
07/29/2022,19:00,27762.69,20339.16,7705.82,17702.93,73510.61,N
07/29/2022,20:00,26611.04,19406.33,7583.28,16947.83,70548.48,N
07/29/2022,21:00,25510.50,18605.44,7426.98,16428.40,67971.32,N
07/29/2022,22:00,24557.83,17964.71,7385.22,15906.35,65814.12,N
07/29/2022,23:00,23142.85,17003.17,7267.89,15125.81,62539.72,N
07/29/2022,24:00,21598.22,15942.86,7080.03,14318.16,58939.26,N
07/28/2022,01:00,21422.17,14611.74,6960.05,13120.83,56114.79,N
07/28/2022,02:00,20136.29,13723.42,6774.75,12552.01,53186.46,N
07/28/2022,03:00,19409.02,13135.83,6651.71,12133.80,51330.36,N
07/28/2022,04:00,18502.46,12701.45,6567.72,11976.66,49748.30,N
07/28/2022,05:00,18117.47,12459.77,6515.56,11923.64,49016.44,N
07/28/2022,06:00,18215.82,12486.36,6498.33,12211.01,49411.52,N
07/28/2022,07:00,18474.27,12810.37,6520.70,12462.51,50267.84,N
07/28/2022,08:00,18800.61,13026.26,6505.88,12716.95,51049.70,N
07/28/2022,09:00,19998.81,13711.90,6640.36,13551.15,53902.22,N
07/28/2022,10:00,21525.46,14784.29,6903.81,14755.24,57968.80,N
07/28/2022,11:00,23246.59,16081.36,7070.80,15932.94,62331.68,N
07/28/2022,12:00,25107.89,17136.18,7210.51,16932.79,66387.37,N
07/28/2022,13:00,26751.78,18221.87,7455.87,17767.68,70197.20,N
07/28/2022,14:00,28225.85,19121.27,7487.07,18493.50,73327.70,N
07/28/2022,15:00,29240.03,19644.29,7523.16,18811.89,75219.37,N
07/28/2022,16:00,29995.77,20160.63,7635.80,18430.79,76222.99,N
07/28/2022,17:00,30359.55,20498.04,7705.63,17506.34,76069.56,N
07/28/2022,18:00,30390.11,20573.84,7774.91,16674.55,75413.41,N
07/28/2022,19:00,29890.49,20474.92,7853.73,16068.69,74287.84,N
07/28/2022,20:00,28877.85,19806.95,7765.93,15598.93,72049.66,N
07/28/2022,21:00,27608.27,18928.06,7627.21,15416.53,69580.07,N
07/28/2022,22:00,26364.75,18276.76,7568.71,15158.75,67368.97,N
07/28/2022,23:00,24565.05,17258.59,7418.91,14439.22,63681.77,N
07/28/2022,24:00,22758.60,16092.74,7206.77,13623.92,59682.03,N
07/27/2022,01:00,21978.64,15068.53,7012.12,13761.51,57820.81,N
07/27/2022,02:00,20911.25,14115.07,6824.90,13090.04,54941.26,N
07/27/2022,03:00,20076.69,13490.89,6760.51,12612.45,52940.54,N
07/27/2022,04:00,19709.15,12817.70,6672.71,12348.08,51547.63,N
07/27/2022,05:00,19191.27,12548.77,6606.20,12257.54,50603.78,N
07/27/2022,06:00,19132.94,12567.36,6536.71,12487.88,50724.90,N
07/27/2022,07:00,19191.10,12855.00,6755.40,12723.81,51525.29,N
07/27/2022,08:00,19196.33,13123.83,6629.34,12989.50,51939.00,N
07/27/2022,09:00,20127.58,13756.66,6699.31,13945.28,54528.83,N
07/27/2022,10:00,21634.66,14731.45,6870.08,15017.33,58253.53,N
07/27/2022,11:00,23351.08,15740.51,7145.52,16115.01,62352.12,N
07/27/2022,12:00,25004.05,16881.15,7394.63,17116.68,66396.51,N
07/27/2022,13:00,26548.47,18063.67,7546.95,17701.41,69860.49,N
07/27/2022,14:00,28233.79,18839.99,7707.54,18162.87,72944.19,N
07/27/2022,15:00,29372.59,19101.44,7740.81,18487.59,74702.43,N
07/27/2022,16:00,30106.65,19377.81,7730.48,18507.40,75722.35,N
07/27/2022,17:00,30376.23,19719.89,7768.66,18311.48,76176.26,N
07/27/2022,18:00,30325.39,19881.36,7828.02,17701.91,75736.69,N
07/27/2022,19:00,29859.10,19726.76,7841.53,16895.86,74323.25,N
07/27/2022,20:00,28895.15,19286.99,7742.91,16413.95,72339.00,N
07/27/2022,21:00,27570.72,18462.23,7708.39,15944.92,69686.25,N
07/27/2022,22:00,26276.42,17888.37,7500.38,15496.99,67162.16,N
07/27/2022,23:00,24588.48,16792.21,7350.32,14714.60,63445.61,N
07/27/2022,24:00,22850.05,15622.00,7119.57,13848.45,59440.07,N
07/26/2022,01:00,21491.74,14815.30,6885.83,13668.33,56861.20,N
07/26/2022,02:00,20337.26,13928.34,6736.67,12936.30,53938.58,N
07/26/2022,03:00,19537.11,13131.34,6620.72,12459.65,51748.82,N
07/26/2022,04:00,18888.61,12638.04,6504.35,12249.40,50280.39,N
07/26/2022,05:00,18369.31,12426.30,6439.20,12327.27,49562.09,N
07/26/2022,06:00,18464.20,12395.56,6409.94,12450.70,49720.41,N
07/26/2022,07:00,18566.62,12705.83,6437.33,12657.79,50367.57,N
07/26/2022,08:00,18468.22,12983.85,6422.29,12913.26,50787.61,N
07/26/2022,09:00,19570.38,13681.59,6578.63,13839.46,53670.05,N
07/26/2022,10:00,21178.36,14679.96,6748.94,14788.84,57396.10,N
07/26/2022,11:00,22862.80,15802.08,6997.52,15839.08,61501.48,N
07/26/2022,12:00,24694.09,17049.00,7293.29,17029.28,66065.66,N
07/26/2022,13:00,26314.72,18197.38,7472.72,17998.61,69983.43,N
07/26/2022,14:00,27648.40,19242.64,7619.52,18708.85,73219.40,N
07/26/2022,15:00,28791.39,20238.97,7674.44,19063.43,75768.23,N
