OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
11/29/2020,01:00,11477.95,8305.08,4851.65,9344.28,33978.96,N
11/29/2020,02:00,11121.43,7933.36,4817.52,9064.88,32937.20,N
11/29/2020,03:00,10911.00,7723.78,4793.53,8839.44,32267.75,N
11/29/2020,04:00,10789.24,7652.38,4768.26,8706.01,31915.88,N
11/29/2020,05:00,10852.24,7652.29,4757.13,8643.85,31905.51,N
11/29/2020,06:00,11109.72,7816.31,4772.14,8650.17,32348.34,N
11/29/2020,07:00,11591.26,8104.61,4836.15,8783.64,33315.65,N
11/29/2020,08:00,12161.21,8410.78,4909.15,8872.05,34353.18,N
11/29/2020,09:00,12847.08,8756.01,4979.34,9130.30,35712.74,N
11/29/2020,10:00,13569.83,9123.00,5016.35,9471.96,37181.14,N
11/29/2020,11:00,14107.46,9271.94,5047.99,9759.69,38187.09,N
11/29/2020,12:00,14412.72,9220.49,5043.87,9922.06,38599.14,N
11/29/2020,13:00,14594.99,9251.69,4979.30,9980.95,38806.93,N
11/29/2020,14:00,14535.69,9233.07,4916.10,9985.55,38670.42,N
11/29/2020,15:00,14437.00,9270.11,4898.70,9966.43,38572.25,N
11/29/2020,16:00,14320.32,9372.26,4897.60,9979.62,38569.80,N
11/29/2020,17:00,14232.28,9555.24,4886.51,10011.80,38685.84,N
11/29/2020,18:00,14993.30,10093.37,4992.67,10478.08,40557.42,N
11/29/2020,19:00,15692.35,10733.00,5129.38,10840.39,42395.12,N
11/29/2020,20:00,15657.84,10783.60,5137.52,10856.91,42435.86,N
11/29/2020,21:00,15610.64,10674.63,5142.03,10731.78,42159.08,N
11/29/2020,22:00,15271.95,10372.28,5125.76,10502.13,41272.12,N
11/29/2020,23:00,14599.73,9872.34,5068.70,10122.25,39663.02,N
11/29/2020,24:00,13894.21,9312.61,5030.82,9678.25,37915.88,N
11/28/2020,01:00,10694.46,8441.11,4626.63,9855.99,33618.19,N
11/28/2020,02:00,10290.55,8039.37,4584.23,9503.98,32418.13,N
11/28/2020,03:00,10114.45,7807.40,4556.74,9259.69,31738.28,N
11/28/2020,04:00,10035.26,7650.10,4546.72,9123.53,31355.61,N
