OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
05/30/2018,01:00,16558.84,11953.42,4495.98,11942.17,44950.42,N
05/30/2018,02:00,15521.22,11096.35,4375.75,11262.79,42256.11,N
05/30/2018,03:00,14802.70,10430.47,4250.09,10741.95,40225.20,N
05/30/2018,04:00,14396.87,10039.16,4166.08,10443.15,39045.26,N
05/30/2018,05:00,14228.21,9871.59,4120.27,10448.29,38668.36,N
05/30/2018,06:00,14538.87,10159.62,4124.63,10811.25,39634.37,N
05/30/2018,07:00,15296.34,10884.80,4169.89,11264.88,41615.91,N
05/30/2018,08:00,16093.96,11299.79,4179.97,11724.79,43298.51,N
05/30/2018,09:00,17032.31,11797.22,4301.62,12575.41,45706.55,N
05/30/2018,10:00,18203.46,12564.66,4491.58,13606.37,48866.07,N
05/30/2018,11:00,19571.51,13477.73,4715.96,14558.00,52323.20,N
05/30/2018,12:00,20900.09,14441.74,4941.09,15346.99,55629.91,N
05/30/2018,13:00,22218.04,15382.57,5120.40,16085.20,58806.21,N
05/30/2018,14:00,23423.39,16242.23,5323.29,16796.07,61784.98,N
05/30/2018,15:00,24381.60,16977.97,5443.97,17320.81,64124.35,N
05/30/2018,16:00,24640.10,17209.87,5489.24,17436.75,64775.96,N
05/30/2018,17:00,25625.91,18063.48,5648.94,17816.24,67154.56,N
05/30/2018,18:00,25627.06,18134.14,5626.35,17577.41,66964.96,N
05/30/2018,19:00,25123.56,17805.21,5565.56,16937.26,65431.59,N
05/30/2018,20:00,24173.83,17054.02,5473.68,16172.78,62874.31,N
05/30/2018,21:00,23083.42,16367.17,5369.25,15542.87,60362.71,N
05/30/2018,22:00,22227.46,15691.05,5251.86,14964.44,58134.81,N
05/30/2018,23:00,20463.15,14429.16,5045.85,13898.54,53836.71,N
05/30/2018,24:00,18615.69,13036.70,4808.27,12876.31,49336.97,N
05/29/2018,01:00,15251.84,11720.21,4412.44,11905.55,43290.05,N
05/29/2018,02:00,14090.84,10874.04,4254.12,11215.79,40434.79,N
05/29/2018,03:00,13346.13,10282.37,4136.35,10749.40,38514.25,N
05/29/2018,04:00,12885.62,9873.31,4057.81,10478.87,37295.60,N
05/29/2018,05:00,12841.66,9685.62,4018.63,10496.15,37042.07,N
05/29/2018,06:00,13386.35,9971.78,4006.90,10910.05,38275.08,N
05/29/2018,07:00,14287.26,10574.30,4054.28,11379.77,40295.61,N
05/29/2018,08:00,15178.36,11022.76,4145.38,11830.59,42177.09,N
05/29/2018,09:00,16412.59,11731.20,4283.98,12690.13,45117.90,N
05/29/2018,10:00,17918.10,12658.74,4510.66,13737.20,48824.70,N
05/29/2018,11:00,19682.05,13702.10,4736.18,14860.31,52980.65,N
05/29/2018,12:00,21293.41,14713.43,4956.46,15901.19,56864.48,N
05/29/2018,13:00,22532.38,15634.62,5118.61,16672.45,59958.07,N
05/29/2018,14:00,23689.02,16514.65,5244.55,17273.32,62721.54,N
05/29/2018,15:00,24503.76,17196.26,5374.06,17715.14,64789.22,N
05/29/2018,16:00,25088.87,17734.58,5470.57,18014.62,66308.64,N
05/29/2018,17:00,25426.23,18120.77,5533.63,18189.94,67270.57,N
05/29/2018,18:00,25329.23,18152.01,5516.81,18003.21,67001.26,N
05/29/2018,19:00,24780.17,17842.15,5484.39,17319.33,65426.03,N
05/29/2018,20:00,23822.21,17205.34,5416.77,16583.07,63027.39,N
05/29/2018,21:00,22724.04,16495.64,5270.60,15962.76,60453.04,N
05/29/2018,22:00,21746.80,15842.69,5137.44,15288.11,58015.04,N
05/29/2018,23:00,19899.79,14544.17,4936.31,14168.50,53548.77,N
05/29/2018,24:00,18019.16,13129.38,4678.86,12958.55,48785.96,N
05/28/2018,01:00,15717.06,11820.87,4503.25,11370.06,43411.25,N
05/28/2018,02:00,14574.65,10953.10,4377.98,10770.19,40675.92,N
05/28/2018,03:00,13704.03,10274.89,4255.89,10333.77,38568.58,N
05/28/2018,04:00,13192.72,9797.94,4139.69,10036.33,37166.69,N
05/28/2018,05:00,12896.38,9522.78,4076.22,9936.79,36432.18,N
05/28/2018,06:00,12862.16,9528.14,4045.42,9960.85,36396.56,N
05/28/2018,07:00,12761.44,9591.05,4008.54,9881.26,36242.29,N
05/28/2018,08:00,13235.17,9777.75,3985.70,10130.53,37129.15,N
05/28/2018,09:00,14547.65,10648.21,4107.67,11022.74,40326.26,N
05/28/2018,10:00,16460.17,11885.77,4336.54,12196.32,44878.79,N
05/28/2018,11:00,18349.83,13266.71,4620.30,13276.53,49513.38,N
05/28/2018,12:00,19929.67,14524.32,4848.44,14304.96,53607.38,N
05/28/2018,13:00,21229.88,15547.52,5002.97,15194.91,56975.29,N
05/28/2018,14:00,22174.13,16328.17,5149.61,15850.84,59502.75,N
05/28/2018,15:00,22829.58,16908.40,5235.64,16336.00,61309.61,N
05/28/2018,16:00,23392.80,17319.38,5326.54,16652.24,62690.96,N
05/28/2018,17:00,23717.34,17575.95,5372.07,16816.35,63481.71,N
05/28/2018,18:00,23676.44,17585.37,5389.13,16790.50,63441.45,N
05/28/2018,19:00,23211.98,17257.50,5328.54,16395.20,62193.23,N
05/28/2018,20:00,22331.60,16656.75,5241.90,15843.38,60073.63,N
05/28/2018,21:00,21246.43,16050.01,5104.95,15394.73,57796.12,N
05/28/2018,22:00,20385.25,15496.63,5015.87,14854.41,55752.15,N
05/28/2018,23:00,18687.06,14257.47,4780.66,13914.94,51640.13,N
05/28/2018,24:00,16758.14,12906.95,4540.41,12869.17,47074.67,N
05/27/2018,01:00,15767.11,11910.98,4388.95,10472.66,42539.70,N
05/27/2018,02:00,14700.10,11018.82,4251.68,9920.67,39891.28,N
05/27/2018,03:00,13899.01,10358.44,4149.41,9524.69,37931.55,N
05/27/2018,04:00,13326.66,9815.31,4062.73,9229.46,36434.16,N
05/27/2018,05:00,12932.84,9476.88,3999.57,9068.36,35477.64,N
05/27/2018,06:00,12669.14,9275.75,3944.69,8991.31,34880.89,N
05/27/2018,07:00,12527.76,9155.88,3928.51,8921.24,34533.39,N
05/27/2018,08:00,12914.42,9319.66,3956.87,9175.15,35366.10,N
05/27/2018,09:00,14426.00,10208.74,4100.71,10116.48,38851.92,N
05/27/2018,10:00,16094.16,11333.38,4306.59,11258.34,42992.47,N
05/27/2018,11:00,17803.65,12533.52,4519.48,12346.03,47202.68,N
05/27/2018,12:00,19585.55,13675.83,4722.15,13397.11,51380.64,N
05/27/2018,13:00,21078.15,14686.17,4897.73,14323.44,54985.49,N
05/27/2018,14:00,22197.98,15540.13,5078.24,15073.71,57890.06,N
05/27/2018,15:00,22908.15,16222.43,5197.12,15572.09,59899.80,N
05/27/2018,16:00,23367.44,16673.44,5293.39,15838.59,61172.87,N
05/27/2018,17:00,23579.60,16970.45,5360.68,15682.98,61593.71,N
05/27/2018,18:00,23521.11,17053.76,5363.67,15323.80,61262.34,N
05/27/2018,19:00,23048.85,16799.46,5329.48,14953.04,60130.83,N
05/27/2018,20:00,22058.75,16258.10,5239.43,14412.03,57968.32,N
05/27/2018,21:00,21015.97,15569.80,5075.70,14035.56,55697.03,N
05/27/2018,22:00,20215.01,15044.95,4999.12,13671.96,53931.04,N
05/27/2018,23:00,18768.61,14106.25,4830.60,12940.58,50646.04,N
05/27/2018,24:00,17202.24,12923.46,4633.33,12135.40,46894.43,N
05/26/2018,01:00,13916.79,11636.01,4281.03,11346.98,41180.82,N
05/26/2018,02:00,13072.53,10804.86,4185.49,10779.23,38842.12,N
05/26/2018,03:00,12475.87,10173.54,4057.63,10322.53,37029.57,N
05/26/2018,04:00,12053.40,9717.81,3991.02,10022.88,35785.11,N
05/26/2018,05:00,11787.64,9452.84,3945.75,9885.04,35071.27,N
05/26/2018,06:00,11760.81,9405.25,3925.89,9936.78,35028.73,N
05/26/2018,07:00,11818.67,9421.77,3890.50,9956.24,35087.18,N
05/26/2018,08:00,12227.49,9707.98,3866.03,10334.74,36136.24,N
05/26/2018,09:00,13515.85,10619.30,3991.70,11215.46,39342.31,N
05/26/2018,10:00,15133.06,11792.85,4221.73,12237.23,43384.88,N
05/26/2018,11:00,16834.89,12942.15,4475.49,13209.75,47462.27,N
05/26/2018,12:00,18264.98,14046.84,4674.11,14055.02,51040.95,N
05/26/2018,13:00,19683.67,15022.75,4853.63,14752.56,54312.61,N
05/26/2018,14:00,20995.81,15863.10,5029.46,15349.00,57237.37,N
05/26/2018,15:00,21987.40,16522.58,5161.37,15851.16,59522.51,N
05/26/2018,16:00,22807.23,16946.59,5231.09,16099.25,61084.16,N
05/26/2018,17:00,23351.13,17167.14,5238.91,16207.24,61964.42,N
05/26/2018,18:00,23575.45,17309.34,5353.46,16187.86,62426.11,N
05/26/2018,19:00,23139.78,17027.47,5306.81,15730.14,61204.21,N
05/26/2018,20:00,22083.74,16383.55,5205.00,14866.10,58538.40,N
05/26/2018,21:00,20935.15,15641.66,5012.70,14030.37,55619.88,N
05/26/2018,22:00,19978.36,14997.65,4877.80,12952.15,52805.96,N
05/26/2018,23:00,18654.32,14034.34,4715.31,12050.79,49454.76,N
05/26/2018,24:00,17167.37,12960.48,4512.82,11229.09,45869.77,N
05/25/2018,01:00,15118.46,11240.69,4184.64,10798.88,41342.67,N
05/25/2018,02:00,14061.67,10480.94,4045.53,10209.81,38797.94,N
05/25/2018,03:00,13368.38,9891.91,3963.45,9838.59,37062.33,N
05/25/2018,04:00,13033.99,9553.83,3904.86,9639.78,36132.45,N
05/25/2018,05:00,12957.10,9417.51,3864.81,9640.51,35879.93,N
05/25/2018,06:00,13402.71,9765.54,3899.61,10006.42,37074.27,N
05/25/2018,07:00,14308.75,10489.26,3984.41,10552.87,39335.28,N
05/25/2018,08:00,15078.75,10860.23,4036.70,10962.21,40937.88,N
05/25/2018,09:00,16167.88,11416.29,4167.97,11678.69,43430.83,N
05/25/2018,10:00,17575.80,12174.41,4341.94,12469.33,46561.48,N
05/25/2018,11:00,19122.09,13121.81,4551.67,13347.69,50143.26,N
05/25/2018,12:00,20503.48,14095.54,4738.16,14196.37,53533.55,N
05/25/2018,13:00,21443.16,14999.08,4859.99,14890.03,56192.26,N
05/25/2018,14:00,21347.11,15914.88,4965.35,15540.21,57767.55,N
05/25/2018,15:00,20693.69,16566.84,5075.62,15934.93,58271.08,N
05/25/2018,16:00,20528.64,17048.24,5155.45,16014.95,58747.28,N
05/25/2018,17:00,20713.68,17353.54,5189.44,15936.20,59192.86,N
05/25/2018,18:00,20521.62,17304.26,5168.24,15805.45,58799.57,N
05/25/2018,19:00,19828.30,16851.89,5116.04,15305.84,57102.07,N
05/25/2018,20:00,18918.77,16101.77,5046.89,14645.55,54712.98,N
05/25/2018,21:00,18137.65,15343.91,4929.90,14207.44,52618.90,N
05/25/2018,22:00,17479.39,14721.32,4849.93,13685.13,50735.77,N
05/25/2018,23:00,16414.73,13732.66,4648.24,12929.65,47725.27,N
05/25/2018,24:00,15086.10,12666.89,4443.93,12078.26,44275.19,N
05/24/2018,01:00,14434.60,10582.96,3990.42,10407.19,39415.16,N
05/24/2018,02:00,13351.90,9956.91,3904.69,9917.80,37131.32,N
05/24/2018,03:00,12698.32,9520.96,3851.85,9586.38,35657.51,N
05/24/2018,04:00,12341.74,9261.36,3766.87,9399.78,34769.75,N
05/24/2018,05:00,12235.39,9198.92,3735.05,9446.89,34616.25,N
05/24/2018,06:00,12775.12,9629.29,3768.19,9891.98,36064.58,N
05/24/2018,07:00,13796.28,10467.59,3873.68,10540.07,38677.63,N
05/24/2018,08:00,14543.33,10798.58,3931.80,10856.70,40130.41,N
05/24/2018,09:00,15392.48,11129.43,4038.25,11425.28,41985.44,N
05/24/2018,10:00,16445.90,11755.57,4161.66,12338.87,44702.00,N
05/24/2018,11:00,17678.42,12605.06,4331.84,13320.00,47935.30,N
05/24/2018,12:00,18919.38,13478.20,4500.31,14235.37,51133.27,N
05/24/2018,13:00,20049.89,14302.17,4626.58,14942.54,53921.19,N
05/24/2018,14:00,21045.42,15044.07,4761.00,15506.24,56356.73,N
05/24/2018,15:00,21886.79,15752.63,4894.30,15589.62,58123.34,N
05/24/2018,16:00,22494.98,16319.39,4998.84,15421.45,59234.66,N
05/24/2018,17:00,22912.74,16698.30,5080.52,15263.86,59955.42,N
05/24/2018,18:00,22917.87,16749.62,5082.45,15211.49,59961.44,N
05/24/2018,19:00,22423.54,16427.06,5046.13,14879.41,58776.14,N
05/24/2018,20:00,21508.81,15870.86,4978.44,14318.79,56676.89,N
05/24/2018,21:00,20637.45,15308.46,4861.40,13933.63,54740.94,N
05/24/2018,22:00,19838.86,14763.47,4809.81,13436.93,52849.07,N
05/24/2018,23:00,18268.41,13627.75,4609.74,12583.82,49089.72,N
05/24/2018,24:00,16492.07,12361.15,4385.26,11662.60,44901.09,N
05/23/2018,01:00,14140.60,10294.62,4024.55,10626.08,39085.85,N
05/23/2018,02:00,13176.77,9614.52,3927.61,10111.27,36830.17,N
05/23/2018,03:00,12507.14,9147.70,3851.18,9772.64,35278.66,N
05/23/2018,04:00,12075.53,8885.23,3792.84,9598.56,34352.15,N
05/23/2018,05:00,12112.52,8858.98,3759.17,9631.85,34362.52,N
05/23/2018,06:00,12663.20,9238.94,3773.13,10048.62,35723.89,N
05/23/2018,07:00,13653.08,10068.89,3868.43,10626.60,38217.00,N
05/23/2018,08:00,14412.02,10456.17,3940.10,11055.48,39863.77,N
05/23/2018,09:00,15302.38,10848.54,4024.98,11799.85,41975.76,N
05/23/2018,10:00,16447.99,11462.96,4120.27,12540.52,44571.74,N
05/23/2018,11:00,17779.20,12284.04,4224.13,12841.49,47128.86,N
05/23/2018,12:00,19061.24,13066.05,4357.68,12723.04,49208.01,N
05/23/2018,13:00,20193.42,13822.10,4503.28,12624.37,51143.17,N
05/23/2018,14:00,21267.08,14595.93,4683.62,12696.61,53243.24,N
05/23/2018,15:00,22103.65,15190.85,4846.15,12766.47,54907.12,N
05/23/2018,16:00,22636.88,15630.33,4950.69,13096.78,56314.68,N
05/23/2018,17:00,23013.20,15904.29,4959.79,13550.06,57427.33,N
05/23/2018,18:00,23059.02,15870.71,4871.22,13736.91,57537.87,N
05/23/2018,19:00,22544.08,15547.94,4755.25,13627.87,56475.13,N
05/23/2018,20:00,21559.61,14995.92,4598.67,13360.68,54514.88,N
05/23/2018,21:00,20531.51,14504.86,4509.97,13200.19,52746.53,N
05/23/2018,22:00,19631.91,14009.18,4487.82,12849.59,50978.50,N
05/23/2018,23:00,17919.43,12876.93,4298.46,12020.34,47115.17,N
05/23/2018,24:00,16025.90,11612.62,4106.56,11090.16,42835.23,N
05/22/2018,01:00,13574.59,9866.21,3940.55,9726.76,37108.12,N
05/22/2018,02:00,12621.73,9212.62,3820.06,9328.74,34983.16,N
05/22/2018,03:00,11990.42,8833.91,3737.11,9104.19,33665.63,N
05/22/2018,04:00,11566.66,8641.68,3694.77,9012.03,32915.14,N
05/22/2018,05:00,11615.16,8674.73,3699.91,9111.99,33101.79,N
05/22/2018,06:00,12177.82,9112.84,3761.58,9597.28,34649.52,N
05/22/2018,07:00,13335.61,10012.15,3862.48,10259.24,37469.48,N
05/22/2018,08:00,14045.72,10342.39,3896.70,10657.08,38941.89,N
05/22/2018,09:00,14760.00,10671.19,3970.75,11330.79,40732.74,N
05/22/2018,10:00,15666.82,11221.21,4040.36,12144.90,43073.29,N
05/22/2018,11:00,16862.37,12002.50,4156.40,12972.57,45993.85,N
05/22/2018,12:00,17971.61,12812.11,4302.39,13790.84,48876.97,N
05/22/2018,13:00,19022.45,13554.31,4433.58,14410.38,51420.73,N
05/22/2018,14:00,19974.37,14257.56,4589.57,14909.03,53730.54,N
05/22/2018,15:00,20847.13,14849.20,4695.54,15166.35,55558.23,N
05/22/2018,16:00,21405.40,15315.80,4772.98,15196.17,56690.35,N
05/22/2018,17:00,21877.65,15627.20,4849.57,14832.01,57186.43,N
05/22/2018,18:00,21974.19,15560.16,4880.91,14459.78,56875.04,N
