OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
06/29/2021,01:00,14493.74,11126.30,4972.27,11507.09,42099.40,N
06/29/2021,02:00,13807.97,10538.06,4901.61,11114.60,40362.25,N
06/29/2021,03:00,13337.29,10141.77,4813.79,10866.61,39159.46,N
06/29/2021,04:00,13120.86,9905.69,4775.54,10732.56,38534.65,N
06/29/2021,05:00,13135.52,9850.68,4779.71,10838.13,38604.04,N
06/29/2021,06:00,13552.42,10083.38,4794.62,11240.46,39670.88,N
06/29/2021,07:00,14247.60,10532.10,4888.39,11606.07,41274.16,N
06/29/2021,08:00,14892.13,10832.71,4950.81,12024.20,42699.86,N
06/29/2021,09:00,15639.47,11347.44,5002.18,12807.23,44796.31,N
06/29/2021,10:00,16598.86,11967.73,5100.12,13791.01,47457.71,N
06/29/2021,11:00,17782.67,12708.15,5220.53,14586.21,50297.56,N
06/29/2021,12:00,19103.20,13524.75,5370.40,14957.03,52955.38,N
06/29/2021,13:00,20339.04,14142.20,5524.64,14976.88,54982.76,N
06/29/2021,14:00,21533.28,14602.12,5673.80,14739.75,56548.96,N
06/29/2021,15:00,22428.62,14666.36,5796.40,14401.27,57292.65,N
06/29/2021,16:00,22846.70,14596.80,5923.19,14067.30,57434.00,N
06/29/2021,17:00,22865.53,14590.30,5999.78,14170.35,57625.95,N
06/29/2021,18:00,22559.17,14378.73,6004.29,14388.44,57330.63,N
06/29/2021,19:00,21948.52,14095.58,5947.31,14455.91,56447.31,N
06/29/2021,20:00,20861.63,13715.99,5801.29,14327.16,54706.07,N
06/29/2021,21:00,19796.62,13498.73,5709.16,14185.86,53190.36,N
06/29/2021,22:00,19116.44,13383.50,5683.56,13975.83,52159.33,N
06/29/2021,23:00,17897.98,12732.09,5556.53,13411.25,49597.86,N
06/29/2021,24:00,16355.33,11801.14,5363.52,12679.01,46199.00,N
06/28/2021,01:00,15456.18,11387.08,5101.07,12719.06,44663.40,N
06/28/2021,02:00,14568.44,10726.08,5031.12,12207.48,42533.12,N
06/28/2021,03:00,13958.54,10264.61,4955.70,11912.35,41091.19,N
06/28/2021,04:00,13601.60,9985.26,4917.60,11812.44,40316.91,N
06/28/2021,05:00,13588.10,9963.43,4915.69,11839.97,40307.19,N
06/28/2021,06:00,13956.25,10217.63,4955.05,12084.73,41213.66,N
06/28/2021,07:00,14545.21,10665.66,5018.82,12403.32,42633.01,N
