DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
11/29/2025,08,256.81,550.3,540.7,578.4,42.23,42.9,49.5,54.9,32.35,31.1,33.1,38,42.81,62.3,70.6,78.5,80.6,253.7,253.8,262.9,53.03,117,88.6,94.2,5.79,43.3,45.1,49.9,106.19,N
11/29/2025,08,256.81,550.3,540.7,578.4,42.23,42.9,49.5,54.9,32.35,31.1,33.1,38,42.81,62.3,70.6,78.5,80.6,253.7,253.8,262.9,53.03,117,88.6,94.2,5.79,43.3,45.1,49.9,106.19,N
11/29/2025,08,256.81,550.3,540.7,578.4,42.23,42.9,49.5,54.9,32.35,31.1,33.1,38,42.81,62.3,70.6,78.5,80.6,253.7,253.8,262.9,53.03,117,88.6,94.2,5.79,43.3,45.1,49.9,106.19,N
11/29/2025,08,256.81,550.3,540.7,578.4,42.23,42.9,49.5,54.9,32.35,31.1,33.1,38,42.81,62.3,70.6,78.5,80.6,253.7,253.8,262.9,53.03,117,88.6,94.2,5.79,43.3,45.1,49.9,106.19,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,09,4550.59,5039.4,3788.5,3790.5,1053.09,639.2,883.8,863.6,783.98,782.7,732.1,768.1,1390.25,1661,1137.4,1173,852.53,1076.1,652.8,619.8,382.55,606.6,321.4,310,88.19,273.8,61,56,3548.37,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,10,10173.26,9772.4,9652,9076.9,1884.81,1352.4,2145.2,1990,1707.21,1646.5,1988.6,1948,3570.25,3374.8,3115.7,2973.2,1841.66,1865,1704.2,1547.8,824.35,966.1,540.9,494.5,344.98,567.6,157.4,123.4,9824.25,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
