DeliveryDate,DeliveryHour,DeliveryInterval,RepeatedHourFlag,ASType,MCPC
12/04/2025,24,4,N,ECRS,9.34
12/04/2025,24,4,N,NSPIN,9.34
12/04/2025,24,4,N,REGDN,9.96
12/04/2025,24,4,N,REGUP,9.33
12/04/2025,24,4,N,RRS,9.37
12/05/2025,1,4,N,ECRS,0.36
12/05/2025,1,4,N,NSPIN,1.44
12/05/2025,1,4,N,REGDN,0.92
12/05/2025,1,4,N,REGUP,0.18
12/05/2025,1,4,N,RRS,0.18
12/05/2025,1,3,N,ECRS,0.4
12/05/2025,1,3,N,NSPIN,1.6
12/05/2025,1,3,N,REGDN,0.99
12/05/2025,1,3,N,REGUP,0.2
12/05/2025,1,3,N,RRS,0.2
12/05/2025,1,2,N,ECRS,0.45
12/05/2025,1,2,N,NSPIN,1.8
12/05/2025,1,2,N,REGDN,0.7
12/05/2025,1,2,N,REGUP,0.22
12/05/2025,1,2,N,RRS,0.23
12/05/2025,1,1,N,ECRS,0.67
12/05/2025,1,1,N,NSPIN,2.09
12/05/2025,1,1,N,REGDN,3.24
12/05/2025,1,1,N,REGUP,0.43
12/05/2025,1,1,N,RRS,0.44
12/05/2025,2,4,N,ECRS,0
12/05/2025,2,4,N,NSPIN,0.55
12/05/2025,2,4,N,REGDN,0.27
12/05/2025,2,4,N,REGUP,0.09
12/05/2025,2,4,N,RRS,0
12/05/2025,2,3,N,ECRS,0.02
12/05/2025,2,3,N,NSPIN,0.69
12/05/2025,2,3,N,REGDN,0.3
12/05/2025,2,3,N,REGUP,0.19
12/05/2025,2,3,N,RRS,0.02
12/05/2025,2,2,N,ECRS,0.17
12/05/2025,2,2,N,NSPIN,1
12/05/2025,2,2,N,REGDN,1.46
12/05/2025,2,2,N,REGUP,1
12/05/2025,2,2,N,RRS,0.11
12/05/2025,2,1,N,ECRS,0.15
12/05/2025,2,1,N,NSPIN,1.01
12/05/2025,2,1,N,REGDN,0.45
12/05/2025,2,1,N,REGUP,0.85
12/05/2025,2,1,N,RRS,0.09
12/05/2025,3,4,N,ECRS,0.01
12/05/2025,3,4,N,NSPIN,0.21
12/05/2025,3,4,N,REGDN,0.41
12/05/2025,3,4,N,REGUP,0.21
12/05/2025,3,4,N,RRS,0.01
12/05/2025,3,3,N,ECRS,0.04
12/05/2025,3,3,N,NSPIN,0.38
12/05/2025,3,3,N,REGDN,0.33
12/05/2025,3,3,N,REGUP,0
12/05/2025,3,3,N,RRS,0.02
12/05/2025,3,2,N,ECRS,0.06
12/05/2025,3,2,N,NSPIN,0.56
12/05/2025,3,2,N,REGDN,0.36
12/05/2025,3,2,N,REGUP,0.01
12/05/2025,3,2,N,RRS,0.03
12/05/2025,3,1,N,ECRS,0.12
12/05/2025,3,1,N,NSPIN,0.91
12/05/2025,3,1,N,REGDN,0.33
12/05/2025,3,1,N,REGUP,0.44
12/05/2025,3,1,N,RRS,0.06
12/05/2025,4,4,N,ECRS,0
12/05/2025,4,4,N,NSPIN,0.23
12/05/2025,4,4,N,REGDN,0
12/05/2025,4,4,N,REGUP,0.3
12/05/2025,4,4,N,RRS,0
12/05/2025,4,3,N,ECRS,0
12/05/2025,4,3,N,NSPIN,0.21
12/05/2025,4,3,N,REGDN,0
12/05/2025,4,3,N,REGUP,0.3
12/05/2025,4,3,N,RRS,0
12/05/2025,4,2,N,ECRS,0
12/05/2025,4,2,N,NSPIN,0.2
12/05/2025,4,2,N,REGDN,0.03
12/05/2025,4,2,N,REGUP,0.21
12/05/2025,4,2,N,RRS,0
12/05/2025,4,1,N,ECRS,0
12/05/2025,4,1,N,NSPIN,0.37
12/05/2025,4,1,N,REGDN,0.04
12/05/2025,4,1,N,REGUP,0.16
12/05/2025,4,1,N,RRS,0
12/05/2025,5,4,N,ECRS,0.01
12/05/2025,5,4,N,NSPIN,0.35
12/05/2025,5,4,N,REGDN,0.89
12/05/2025,5,4,N,REGUP,0.59
12/05/2025,5,4,N,RRS,0.01
12/05/2025,5,3,N,ECRS,0.01
12/05/2025,5,3,N,NSPIN,0.5
12/05/2025,5,3,N,REGDN,0.8
12/05/2025,5,3,N,REGUP,0.56
12/05/2025,5,3,N,RRS,0.01
12/05/2025,5,2,N,ECRS,0.01
12/05/2025,5,2,N,NSPIN,0.57
12/05/2025,5,2,N,REGDN,0.49
12/05/2025,5,2,N,REGUP,0.7
12/05/2025,5,2,N,RRS,0.01
12/05/2025,5,1,N,ECRS,0.01
12/05/2025,5,1,N,NSPIN,0.52
12/05/2025,5,1,N,REGDN,0.15
12/05/2025,5,1,N,REGUP,0.47
12/05/2025,5,1,N,RRS,0.01
12/05/2025,6,4,N,ECRS,0.1
12/05/2025,6,4,N,NSPIN,1.58
12/05/2025,6,4,N,REGDN,1.4
12/05/2025,6,4,N,REGUP,0.65
12/05/2025,6,4,N,RRS,0.1
12/05/2025,6,3,N,ECRS,0.1
12/05/2025,6,3,N,NSPIN,1.44
12/05/2025,6,3,N,REGDN,1.43
12/05/2025,6,3,N,REGUP,1
12/05/2025,6,3,N,RRS,0.08
12/05/2025,6,2,N,ECRS,0.1
12/05/2025,6,2,N,NSPIN,1.36
12/05/2025,6,2,N,REGDN,1.65
12/05/2025,6,2,N,REGUP,0.94
12/05/2025,6,2,N,RRS,0.09
12/05/2025,6,1,N,ECRS,0.1
12/05/2025,6,1,N,NSPIN,1.33
12/05/2025,6,1,N,REGDN,1.46
12/05/2025,6,1,N,REGUP,0.88
12/05/2025,6,1,N,RRS,0.07
12/05/2025,7,4,N,ECRS,0.94
12/05/2025,7,4,N,NSPIN,5.11
12/05/2025,7,4,N,REGDN,0.74
12/05/2025,7,4,N,REGUP,0.79
12/05/2025,7,4,N,RRS,0.63
12/05/2025,7,3,N,ECRS,0.14
12/05/2025,7,3,N,NSPIN,3.48
12/05/2025,7,3,N,REGDN,0.64
12/05/2025,7,3,N,REGUP,0.56
12/05/2025,7,3,N,RRS,0.14
12/05/2025,7,2,N,ECRS,0.37
12/05/2025,7,2,N,NSPIN,2.39
12/05/2025,7,2,N,REGDN,0.78
12/05/2025,7,2,N,REGUP,0.3
12/05/2025,7,2,N,RRS,0.28
12/05/2025,7,1,N,ECRS,0.21
12/05/2025,7,1,N,NSPIN,1.91
12/05/2025,7,1,N,REGDN,1.67
12/05/2025,7,1,N,REGUP,0.27
12/05/2025,7,1,N,RRS,0.15
12/05/2025,8,4,N,ECRS,0.83
12/05/2025,8,4,N,NSPIN,6.46
12/05/2025,8,4,N,REGDN,0.13
12/05/2025,8,4,N,REGUP,0.94
12/05/2025,8,4,N,RRS,0.81
