OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
11/29/2024,01:00,14137.26,10296.93,8945.08,9823.95,43203.22,N
11/29/2024,02:00,14024.33,10186.79,8976.02,9567.29,42754.43,N
11/29/2024,03:00,14027.40,10094.36,8903.59,9459.46,42484.82,N
11/29/2024,04:00,14557.89,10156.38,9202.06,9445.46,43361.80,N
11/29/2024,05:00,14795.62,10257.45,9074.00,9546.13,43673.20,N
11/29/2024,06:00,15420.26,10517.35,9092.64,9785.60,44815.85,N
11/29/2024,07:00,16291.65,10901.75,9152.08,10095.96,46441.44,N
11/29/2024,08:00,16952.12,11385.28,9238.79,10282.76,47858.95,N
11/29/2024,09:00,17217.22,11895.56,9469.21,10524.55,49106.55,N
11/29/2024,10:00,16661.93,11802.29,9443.86,10692.82,48600.90,N
11/29/2024,11:00,16109.91,11515.61,9093.80,10735.10,47454.42,N
11/29/2024,12:00,15415.57,11128.56,8848.98,10686.02,46079.14,N
11/29/2024,13:00,14777.21,10701.91,8914.38,10647.38,45040.87,N
11/29/2024,14:00,14382.27,10608.64,8927.60,10686.53,44605.03,N
11/29/2024,15:00,14137.82,10568.36,8870.77,10590.03,44166.98,N
11/29/2024,16:00,14052.08,10631.46,8738.57,10605.37,44027.48,N
11/29/2024,17:00,14324.49,10869.43,8706.76,10651.42,44552.10,N
11/29/2024,18:00,15264.29,11400.25,8955.55,10995.93,46616.02,N
11/29/2024,19:00,15978.15,11895.56,9118.57,11196.99,48189.27,N
11/29/2024,20:00,16196.67,11853.12,9060.04,11126.50,48236.34,N
11/29/2024,21:00,16400.21,11838.22,9014.41,11053.36,48306.20,N
11/29/2024,22:00,16597.73,11722.94,8980.53,11044.23,48345.42,N
11/29/2024,23:00,16378.69,11548.67,8943.74,10828.83,47699.92,N
11/29/2024,24:00,16044.42,11258.86,8881.75,10546.63,46731.67,N
11/28/2024,01:00,12705.57,10347.72,8499.02,11209.39,42761.69,N
11/28/2024,02:00,12216.09,9799.14,8475.86,10833.23,41324.32,N
11/28/2024,03:00,12181.59,9572.90,8509.53,10576.86,40840.87,N
11/28/2024,04:00,12055.37,9332.40,8538.39,10350.38,40276.54,N
11/28/2024,05:00,12126.92,9333.26,8566.91,10046.21,40073.31,N
11/28/2024,06:00,12640.72,9421.87,8609.01,9946.00,40617.61,N
11/28/2024,07:00,13173.35,9830.09,8799.20,9951.55,41754.18,N
11/28/2024,08:00,13971.31,10112.41,8843.85,9963.55,42891.11,N
11/28/2024,09:00,15037.57,10938.46,9046.69,10449.73,45472.44,N
11/28/2024,10:00,15848.10,11662.41,9049.25,10904.01,47463.76,N
11/28/2024,11:00,16285.79,12112.99,9275.45,10994.63,48668.86,N
11/28/2024,12:00,16743.04,12214.77,9276.34,11226.36,49460.51,N
11/28/2024,13:00,15952.95,11862.90,9055.43,11327.67,48198.94,N
11/28/2024,14:00,15276.85,11602.26,9223.31,11222.82,47325.23,N
11/28/2024,15:00,14963.71,11103.06,8883.39,11047.58,45997.74,N
11/28/2024,16:00,14690.13,10847.77,8797.45,10819.13,45154.48,N
11/28/2024,17:00,14608.32,10764.23,8814.23,10645.47,44832.24,N
11/28/2024,18:00,15014.91,10890.90,8821.26,10800.58,45527.65,N
11/28/2024,19:00,15176.43,11046.15,9057.86,10758.30,46038.73,N
11/28/2024,20:00,15178.78,11057.65,8961.93,10592.46,45790.82,N
11/28/2024,21:00,15269.55,11011.82,8989.88,10492.85,45764.10,N
11/28/2024,22:00,15179.00,10931.88,9019.08,10388.12,45518.08,N
11/28/2024,23:00,14970.26,10728.35,9038.94,10211.28,44948.83,N
11/28/2024,24:00,14665.34,10472.00,8931.34,9989.00,44057.68,N
11/27/2024,01:00,13824.89,9969.75,8651.95,9948.97,42395.56,N
11/27/2024,02:00,13411.41,9698.21,8606.63,9767.80,41484.04,N
11/27/2024,03:00,13304.16,9670.42,8624.09,9669.85,41268.52,N
11/27/2024,04:00,13252.09,9619.88,8685.22,9578.34,41135.52,N
11/27/2024,05:00,13330.71,9492.40,8517.00,9769.74,41109.85,N
11/27/2024,06:00,13702.01,9779.61,8314.39,10002.43,41798.45,N
11/27/2024,07:00,14548.82,10311.20,8603.45,10351.65,43815.11,N
11/27/2024,08:00,15394.06,10680.17,8666.99,10622.11,45363.34,N
11/27/2024,09:00,15567.79,11096.94,8824.44,11061.02,46550.19,N
11/27/2024,10:00,15764.80,11285.34,9198.07,11433.51,47681.72,N
11/27/2024,11:00,15677.99,11939.96,9329.89,12050.11,48997.95,N
11/27/2024,12:00,15818.48,12312.91,9278.61,12756.79,50166.79,N
11/27/2024,13:00,15537.43,12509.96,9125.47,12829.32,50002.19,N
11/27/2024,14:00,15843.68,12823.84,8971.36,13084.63,50723.52,N
11/27/2024,15:00,15951.60,13160.32,8900.83,13339.19,51351.93,N
11/27/2024,16:00,16062.73,13524.90,8872.77,13360.14,51820.53,N
11/27/2024,17:00,16085.76,13560.37,8751.01,13361.59,51758.73,N
11/27/2024,18:00,16270.64,13557.42,8671.26,13399.81,51899.13,N
11/27/2024,19:00,16217.07,13483.38,8905.69,13302.28,51908.42,N
11/27/2024,20:00,15791.71,13033.56,8718.85,13076.37,50620.50,N
11/27/2024,21:00,15391.03,12631.85,8697.94,12845.36,49566.17,N
11/27/2024,22:00,15004.41,12203.45,8850.35,12557.45,48615.66,N
11/27/2024,23:00,14265.35,11623.73,8732.74,12124.17,46745.98,N
11/27/2024,24:00,13388.25,10974.21,8547.33,11672.14,44581.93,N
11/26/2024,01:00,14055.33,10290.11,8916.19,10130.28,43391.91,N
11/26/2024,02:00,13804.45,9961.49,8771.74,9772.39,42310.07,N
11/26/2024,03:00,14060.30,10029.87,8897.15,9489.81,42477.13,N
11/26/2024,04:00,13893.44,9933.86,8807.75,9303.16,41938.21,N
11/26/2024,05:00,14319.18,10061.08,8516.75,9437.03,42334.04,N
11/26/2024,06:00,15304.17,10256.23,8418.34,9807.14,43785.88,N
11/26/2024,07:00,16540.08,10853.91,8729.37,10275.28,46398.64,N
11/26/2024,08:00,17310.82,11179.77,8499.45,10555.37,47545.41,N
11/26/2024,09:00,17883.95,11545.23,9185.41,10909.75,49524.34,N
11/26/2024,10:00,17348.18,11488.27,9318.53,11144.09,49299.07,N
11/26/2024,11:00,16697.89,11432.70,9107.23,11255.16,48492.99,N
11/26/2024,12:00,16354.00,11286.46,9046.17,11336.44,48023.07,N
11/26/2024,13:00,15666.08,11144.37,9007.53,11391.86,47209.84,N
