Date,HourEnding,TotalResourceMWZoneSouth,TotalResourceMWZoneNorth,TotalResourceMWZoneWest,TotalResourceMWZoneHouston,TotalIRRMWZoneSouth,TotalIRRMWZoneNorth,TotalIRRMWZoneWest,TotalIRRMWZoneHouston,TotalNewEquipResourceMWZoneSouth,TotalNewEquipResourceMWZoneNorth,TotalNewEquipResourceMWZoneWest,TotalNewEquipResourceMWZoneHouston
11/30/2025,24,9525,5647,664,3213,714,926,1974,163,1093,2760,1385,1256
11/30/2025,24,9525,5703,664,3213,714,926,1974,163,1093,2760,1385,1256
11/30/2025,24,9525,5703,664,3168,714,926,1974,163,1093,2760,1385,1256
11/30/2025,24,9525,5703,664,3213,714,926,1974,163,1093,2760,1385,1256
11/30/2025,24,9525,5703,664,3213,714,926,1965,163,1093,2760,1385,1256
11/30/2025,24,9693,5703,664,3213,714,926,1965,163,1093,2760,1385,1256
11/30/2025,24,9698,5747,664,3213,775,926,1974,163,1093,2760,1385,1256
11/30/2025,24,9698,5747,664,3213,775,926,1961,163,1093,2760,1385,1256
11/30/2025,24,9698,5747,664,3213,775,926,1974,163,1093,2760,1385,1256
11/30/2025,24,9698,5703,664,3213,775,926,1974,163,1093,2760,1385,1256
11/30/2025,24,9698,5703,664,3213,775,926,1974,163,1093,2760,1385,1256
11/30/2025,24,9698,5703,664,3213,775,926,1974,163,1083,2760,1385,1096
11/30/2025,24,9698,5747,715,3213,775,926,1976,163,1093,2760,1385,1256
11/30/2025,24,9698,5747,715,3213,775,926,1976,163,1093,2760,1385,1256
11/30/2025,24,9698,5855,715,3213,775,926,1976,163,1093,2760,1385,1256
11/30/2025,24,9698,5855,715,3213,775,926,1976,163,1093,2760,1385,1256
11/30/2025,24,9638,5855,715,3204,775,926,2215,163,1093,2760,1385,1256
11/30/2025,24,9698,5855,715,3214,775,926,2215,163,1093,2760,1385,1256
11/30/2025,24,9698,5855,715,3214,775,926,2415,163,1093,2760,1385,1256
11/30/2025,24,9698,5855,715,3214,775,926,2415,163,1093,2760,1385,1256
11/30/2025,24,9698,5855,715,3214,775,926,2415,163,1093,2760,1385,1256
11/30/2025,24,9698,5855,715,3214,775,926,2415,163,1093,2760,1385,1256
11/30/2025,24,9698,5855,715,3214,775,926,2415,163,1093,2760,1385,1256
11/30/2025,24,9638,5839,715,3204,775,926,2415,188,1093,2760,1385,1256
12/01/2025,01,9525,5758,664,3213,714,926,1974,163,1093,2760,1385,1256
12/01/2025,01,9525,5814,664,3213,714,926,1974,163,1093,2760,1385,1256
