OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
02/27/2019,01:00,10922.60,7814.11,4127.88,8379.69,31244.29,N
02/27/2019,02:00,10543.88,7527.39,4067.07,8150.98,30289.32,N
02/27/2019,03:00,10344.90,7379.11,4049.24,8048.65,29821.91,N
02/27/2019,04:00,10327.68,7328.85,4048.61,8037.53,29742.68,N
02/27/2019,05:00,10628.17,7474.84,4082.30,8202.73,30388.04,N
02/27/2019,06:00,11552.35,8043.92,4186.83,8732.99,32516.08,N
02/27/2019,07:00,13130.66,9098.51,4355.21,9558.62,36142.99,N
02/27/2019,08:00,13588.64,9464.70,4395.65,9823.05,37272.05,N
02/27/2019,09:00,13442.78,9414.64,4404.85,9938.82,37201.10,N
02/27/2019,10:00,13471.84,9526.96,4375.55,10104.76,37479.11,N
02/27/2019,11:00,13450.67,9610.99,4349.94,10206.36,37617.96,N
02/27/2019,12:00,13445.83,9639.80,4354.36,10231.24,37671.23,N
02/27/2019,13:00,13361.61,9763.60,4383.60,10175.14,37683.95,N
02/27/2019,14:00,13304.45,9913.87,4380.39,10240.78,37839.48,N
02/27/2019,15:00,13309.34,10170.30,4450.92,10271.17,38201.72,N
02/27/2019,16:00,13495.32,10369.66,4508.76,10255.06,38628.79,N
02/27/2019,17:00,14166.85,10540.27,4602.74,10211.07,39520.92,N
02/27/2019,18:00,15125.09,10608.69,4592.59,10197.72,40524.08,N
02/27/2019,19:00,16388.48,10787.31,4591.50,10306.83,42074.12,N
02/27/2019,20:00,17185.29,10978.51,4663.74,10283.18,43110.72,N
02/27/2019,21:00,17496.26,10804.57,4650.81,10059.48,43011.12,N
02/27/2019,22:00,17384.73,10261.75,4602.07,9723.96,41972.51,N
02/27/2019,23:00,16734.48,9530.55,4530.33,9189.39,39984.74,N
02/27/2019,24:00,16020.51,8705.68,4448.48,8635.67,37810.34,N
02/26/2019,01:00,11970.26,7838.12,4293.53,8511.77,32613.68,N
02/26/2019,02:00,11756.87,7562.19,4256.31,8305.51,31880.88,N
02/26/2019,03:00,11652.73,7420.25,4260.24,8208.87,31542.08,N
02/26/2019,04:00,11680.57,7408.65,4278.76,8191.24,31559.22,N
02/26/2019,05:00,12003.29,7594.84,4326.50,8395.89,32320.53,N
02/26/2019,06:00,12886.03,8198.37,4413.43,8958.67,34456.50,N
02/26/2019,07:00,14419.58,9244.33,4559.59,9793.62,38017.13,N
02/26/2019,08:00,14829.21,9628.53,4609.96,10084.16,39151.86,N
02/26/2019,09:00,14629.63,9491.29,4536.29,10166.75,38823.95,N
02/26/2019,10:00,14384.40,9465.39,4464.13,10239.92,38553.83,N
02/26/2019,11:00,14173.37,9520.83,4415.47,10381.87,38491.54,N
02/26/2019,12:00,13894.29,9492.67,4351.58,10457.52,38196.06,N
02/26/2019,13:00,13676.17,9442.35,4273.45,10378.43,37770.40,N
