OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
02/27/2021,01:00,11921.16,8372.68,4689.32,8205.41,33188.56,N
02/27/2021,02:00,11511.80,8007.93,4662.80,7952.16,32134.69,N
02/27/2021,03:00,11266.67,7754.64,4643.26,7777.63,31442.19,N
02/27/2021,04:00,11195.55,7633.81,4609.57,7653.87,31092.79,N
02/27/2021,05:00,11238.40,7630.37,4576.09,7658.63,31103.49,N
02/27/2021,06:00,11550.45,7816.92,4592.43,7753.85,31713.66,N
02/27/2021,07:00,12119.13,8130.21,4655.13,7957.09,32861.56,N
02/27/2021,08:00,12603.87,8479.79,4711.25,8108.39,33903.30,N
02/27/2021,09:00,13179.50,8918.33,4744.04,8442.91,35284.78,N
02/27/2021,10:00,13612.71,9337.91,4725.05,8846.04,36521.71,N
02/27/2021,11:00,13839.26,9576.74,4728.28,9215.21,37359.49,N
02/27/2021,12:00,13988.99,9744.52,4723.90,9558.72,38016.13,N
02/27/2021,13:00,13932.27,9751.66,4712.78,9829.72,38226.43,N
02/27/2021,14:00,13693.44,9696.18,4668.48,9992.45,38050.54,N
02/27/2021,15:00,13329.30,9721.20,4608.43,9985.53,37644.46,N
02/27/2021,16:00,13047.72,9795.77,4514.24,9870.12,37227.84,N
02/27/2021,17:00,12968.12,9850.74,4526.02,9757.96,37102.84,N
02/27/2021,18:00,13061.59,9918.56,4584.62,9724.35,37289.11,N
02/27/2021,19:00,13236.77,10107.13,4665.73,9920.02,37929.65,N
02/27/2021,20:00,13306.98,10256.40,4745.41,9927.53,38236.32,N
02/27/2021,21:00,13017.86,10002.47,4742.35,9807.99,37570.68,N
02/27/2021,22:00,12553.32,9724.64,4699.00,9612.63,36589.58,N
02/27/2021,23:00,11977.35,9390.00,4646.99,9314.40,35328.74,N
02/27/2021,24:00,11327.65,8926.41,4580.66,8928.95,33763.66,N
02/26/2021,01:00,12858.00,8563.26,4867.55,7874.15,34162.96,N
02/26/2021,02:00,12499.47,8240.35,4833.61,7659.43,33232.86,N
02/26/2021,03:00,12331.77,8084.82,4833.88,7567.32,32817.78,N
02/26/2021,04:00,12345.23,7999.03,4866.89,7520.13,32731.28,N
02/26/2021,05:00,12665.24,8104.48,4898.89,7617.99,33286.59,N
02/26/2021,06:00,13452.27,8515.77,4993.99,8005.06,34967.09,N
02/26/2021,07:00,14755.13,9368.40,5144.90,8548.08,37816.52,N
02/26/2021,08:00,15475.59,9902.94,5202.92,8799.20,39380.65,N
02/26/2021,09:00,15548.27,10144.73,5138.44,9020.69,39852.13,N
02/26/2021,10:00,15548.63,10380.49,5048.57,9233.32,40211.01,N
02/26/2021,11:00,15350.62,10499.19,4923.38,9445.96,40219.15,N
