OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
10/30/2019,01:00,12283.17,8660.72,4907.44,9094.62,34945.95,N
10/30/2019,02:00,11949.63,8342.72,4922.00,8758.94,33973.29,N
10/30/2019,03:00,11770.10,8144.14,4941.73,8587.98,33443.95,N
10/30/2019,04:00,11744.57,8101.96,4963.74,8539.60,33349.87,N
10/30/2019,05:00,12175.18,8214.45,5005.48,8665.81,34060.92,N
10/30/2019,06:00,13185.32,8780.76,5100.47,9127.21,36193.77,N
10/30/2019,07:00,14704.04,9729.11,5244.13,9773.97,39451.25,N
10/30/2019,08:00,15456.05,10223.85,5352.09,10085.42,41117.41,N
10/30/2019,09:00,15660.03,10319.62,5393.80,10121.73,41495.17,N
10/30/2019,10:00,15783.55,10530.11,5406.51,10218.87,41939.05,N
10/30/2019,11:00,15941.35,10717.54,5398.76,10253.23,42310.87,N
10/30/2019,12:00,16044.20,10882.86,5338.81,10247.20,42513.08,N
10/30/2019,13:00,16058.33,10961.24,5346.98,10150.86,42517.42,N
10/30/2019,14:00,16031.51,11064.40,5339.15,10096.90,42531.96,N
10/30/2019,15:00,16036.41,11076.20,5327.61,10001.93,42442.15,N
10/30/2019,16:00,16150.43,11131.24,5345.09,9937.57,42564.33,N
10/30/2019,17:00,16554.37,11314.28,5374.89,9920.98,43164.51,N
10/30/2019,18:00,17127.82,11428.54,5383.83,9901.16,43841.36,N
10/30/2019,19:00,17789.56,11689.03,5420.26,10097.65,44996.49,N
10/30/2019,20:00,18011.25,11896.95,5532.86,10222.92,45663.98,N
10/30/2019,21:00,17955.97,11765.89,5525.39,10085.70,45332.94,N
10/30/2019,22:00,17524.63,11448.44,5504.44,9756.20,44233.71,N
10/30/2019,23:00,16652.37,10813.04,5398.75,9335.91,42200.07,N
10/30/2019,24:00,15684.24,10231.06,5287.18,8949.58,40152.06,N
10/29/2019,01:00,10696.89,8697.81,4655.54,8860.32,32910.56,N
10/29/2019,02:00,10422.93,8264.33,4644.38,8603.99,31935.62,N
10/29/2019,03:00,10241.94,8017.70,4640.46,8456.26,31356.36,N
10/29/2019,04:00,10296.87,7875.17,4657.04,8406.17,31235.25,N
10/29/2019,05:00,10673.09,7927.86,4689.69,8565.20,31855.83,N
10/29/2019,06:00,11644.96,8327.94,4819.05,9048.66,33840.60,N
10/29/2019,07:00,13154.57,9186.49,5001.29,9786.90,37129.25,N
10/29/2019,08:00,14068.10,9611.91,5122.48,10156.03,38958.52,N
10/29/2019,09:00,14222.52,9561.11,5088.63,10212.36,39084.62,N
10/29/2019,10:00,14399.05,9807.63,5076.07,10400.08,39682.82,N
10/29/2019,11:00,14610.60,10083.80,5093.73,10655.38,40443.51,N
10/29/2019,12:00,14661.01,10317.95,5016.72,10836.18,40831.86,N
10/29/2019,13:00,14590.43,10568.11,4990.44,10945.24,41094.21,N
10/29/2019,14:00,14580.42,10740.13,4945.08,10976.83,41242.46,N
10/29/2019,15:00,14480.66,10894.74,4924.89,10910.75,41211.03,N
10/29/2019,16:00,14463.98,10984.15,4889.84,10885.19,41223.16,N
10/29/2019,17:00,14696.04,11108.05,4922.16,10883.18,41609.44,N
10/29/2019,18:00,15065.67,11118.69,4944.90,10838.13,41967.39,N
