OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
01/30/2024,01:00,12697.20,9981.77,7690.34,9764.75,40134.07,N
01/30/2024,02:00,12539.40,9686.55,7677.23,9663.98,39567.16,N
01/30/2024,03:00,12558.85,9695.02,7685.63,9650.64,39590.13,N
01/30/2024,04:00,12844.24,9989.17,7734.22,9748.25,40315.88,N
01/30/2024,05:00,13343.67,10414.66,7827.49,10017.95,41603.77,N
01/30/2024,06:00,14646.24,11233.26,8071.43,10671.80,44622.73,N
01/30/2024,07:00,16418.22,12528.35,8291.56,11525.73,48763.86,N
01/30/2024,08:00,17277.31,13173.37,8458.74,11836.59,50746.00,N
01/30/2024,09:00,16775.68,12823.06,8534.13,11806.47,49939.33,N
01/30/2024,10:00,15815.33,11983.05,8218.84,11551.59,47568.82,N
01/30/2024,11:00,15004.08,11157.74,7976.80,11244.61,45383.23,N
01/30/2024,12:00,14449.17,10576.82,7957.72,10983.51,43967.23,N
01/30/2024,13:00,14137.07,10279.38,8002.38,10802.30,43221.13,N
01/30/2024,14:00,13968.79,10297.46,7955.07,10785.14,43006.46,N
01/30/2024,15:00,13882.85,10417.43,7853.63,10792.60,42946.51,N
01/30/2024,16:00,13854.51,10474.79,7814.90,10809.79,42953.98,N
01/30/2024,17:00,14100.29,10684.01,7808.93,10760.44,43353.67,N
01/30/2024,18:00,14506.03,11037.43,7884.34,10816.83,44244.63,N
01/30/2024,19:00,15128.65,11575.13,7853.21,11061.65,45618.64,N
01/30/2024,20:00,15194.94,11654.84,7963.44,10945.89,45759.10,N
01/30/2024,21:00,14906.76,11544.20,8093.99,10778.52,45323.47,N
01/30/2024,22:00,14450.75,11353.39,8120.49,10427.79,44352.42,N
01/30/2024,23:00,13586.25,10741.37,8140.19,10024.32,42492.13,N
01/30/2024,24:00,12760.71,10122.98,8073.84,9663.02,40620.55,N
01/29/2024,01:00,14368.95,10554.70,7732.02,10041.43,42697.11,N
01/29/2024,02:00,14312.79,10512.17,7729.53,9956.13,42510.63,N
01/29/2024,03:00,14460.19,10579.81,7781.11,9994.96,42816.07,N
01/29/2024,04:00,14809.70,10803.76,7830.30,10187.99,43631.76,N
01/29/2024,05:00,15472.10,11290.93,7939.79,10568.24,45271.07,N
01/29/2024,06:00,16730.40,12260.81,8080.82,11302.14,48374.17,N
01/29/2024,07:00,18466.63,13662.19,8295.68,12244.72,52669.22,N
01/29/2024,08:00,19348.86,14400.69,8397.96,12656.27,54803.79,N
01/29/2024,09:00,18592.94,13840.87,8334.01,12461.14,53228.97,N
01/29/2024,10:00,17294.45,12776.62,8106.10,12037.70,50214.86,N
01/29/2024,11:00,16227.77,11812.61,7938.35,11654.26,47632.99,N
01/29/2024,12:00,15282.30,11189.42,7796.79,11296.10,45564.61,N
01/29/2024,13:00,14631.29,10764.89,7737.75,11047.68,44181.60,N
01/29/2024,14:00,14257.27,10535.93,7698.33,10898.26,43389.79,N
01/29/2024,15:00,14054.94,10427.80,7638.56,10782.45,42903.74,N
01/29/2024,16:00,13908.14,10584.90,7610.27,10767.32,42870.64,N
01/29/2024,17:00,13992.63,10788.78,7615.26,10756.21,43152.88,N
01/29/2024,18:00,14503.71,11112.79,7646.42,10828.54,44091.46,N
01/29/2024,19:00,15361.81,11825.13,7839.82,11102.14,46128.89,N
01/29/2024,20:00,15469.11,11809.23,7885.97,11075.58,46239.88,N
01/29/2024,21:00,15309.25,11720.70,7914.02,10979.38,45923.34,N
01/29/2024,22:00,14844.54,11428.11,7885.19,10832.20,44990.04,N
01/29/2024,23:00,13941.36,10906.88,7767.09,10432.81,43048.14,N
01/29/2024,24:00,13167.73,10343.79,7714.57,10011.38,41237.47,N
01/28/2024,01:00,17112.56,10925.87,8104.70,10296.42,46439.55,N
01/28/2024,02:00,17043.89,10842.08,8062.03,10116.14,46064.15,N
01/28/2024,03:00,17069.17,10807.09,8081.03,10043.49,46000.77,N
01/28/2024,04:00,17279.28,10925.45,8067.84,10024.34,46296.90,N
01/28/2024,05:00,17632.85,11127.95,8073.12,10109.93,46943.85,N
01/28/2024,06:00,18209.09,11492.21,8140.74,10296.02,48138.06,N
01/28/2024,07:00,18933.74,12010.14,8390.00,10576.28,49910.15,N
01/28/2024,08:00,19675.55,12424.92,8515.95,10856.87,51473.29,N
01/28/2024,09:00,19468.20,12476.59,8649.94,11043.81,51638.54,N
01/28/2024,10:00,18271.19,11931.87,8310.12,11053.22,49566.40,N
01/28/2024,11:00,16988.73,11298.02,8123.51,10967.00,47377.26,N
01/28/2024,12:00,15877.49,10681.73,7863.96,10770.68,45193.86,N
01/28/2024,13:00,15097.64,10325.45,7838.66,10513.84,43775.59,N
01/28/2024,14:00,14390.59,10159.87,7865.95,10341.78,42758.19,N
01/28/2024,15:00,13896.56,10081.35,7788.38,10182.73,41949.03,N
01/28/2024,16:00,13683.95,10111.00,7689.91,10122.98,41607.84,N
01/28/2024,17:00,13724.99,10298.51,7638.25,10134.26,41796.01,N
01/28/2024,18:00,14395.97,10759.81,7746.00,10360.24,43262.02,N
01/28/2024,19:00,15523.24,11482.94,7982.85,10851.46,45840.48,N
01/28/2024,20:00,15936.05,11783.52,8037.80,11000.85,46758.22,N
01/28/2024,21:00,16004.76,11766.43,7986.73,11010.95,46768.87,N
01/28/2024,22:00,15950.88,11634.80,7925.18,10926.22,46437.08,N
01/28/2024,23:00,15344.42,11140.16,7841.66,10593.10,44919.34,N
01/28/2024,24:00,14709.11,10814.35,7773.51,10258.87,43555.84,N
01/27/2024,01:00,14297.50,10175.33,8013.80,9332.93,41819.57,N
01/27/2024,02:00,13953.72,9861.87,7989.35,9081.01,40885.96,N
01/27/2024,03:00,13832.79,9747.77,7921.64,8948.58,40450.78,N
01/27/2024,04:00,13854.55,9662.90,7847.19,8888.71,40253.34,N
01/27/2024,05:00,14098.40,9810.56,7936.06,8936.46,40781.49,N
01/27/2024,06:00,14529.29,10129.22,8007.20,9103.57,41769.29,N
01/27/2024,07:00,15189.67,10540.66,8013.44,9407.22,43150.99,N
01/27/2024,08:00,15982.39,10987.45,8094.59,9744.40,44808.83,N
01/27/2024,09:00,16770.58,11363.55,8145.66,10130.08,46409.88,N
01/27/2024,10:00,17582.57,11537.11,8196.71,10510.62,47827.01,N
01/27/2024,11:00,17663.20,11538.00,8093.24,10664.47,47958.90,N
01/27/2024,12:00,17467.44,11275.31,8018.81,10655.75,47417.31,N
01/27/2024,13:00,17163.41,11025.02,8001.73,10753.47,46943.64,N
01/27/2024,14:00,16656.83,10674.09,8069.90,10747.05,46147.87,N
01/27/2024,15:00,16132.73,10429.94,7896.13,10591.04,45049.84,N
01/27/2024,16:00,15791.52,10372.92,7804.92,10557.15,44526.52,N
01/27/2024,17:00,15875.32,10398.93,7785.33,10556.91,44616.49,N
01/27/2024,18:00,16488.49,10878.81,7833.00,10700.43,45900.73,N
01/27/2024,19:00,17447.12,11453.93,8096.06,11066.89,48064.00,N
01/27/2024,20:00,17735.16,11592.32,8172.70,11073.03,48573.21,N
01/27/2024,21:00,17885.29,11591.27,8101.12,11069.43,48647.10,N
01/27/2024,22:00,17886.34,11459.94,8095.76,10956.62,48398.66,N
01/27/2024,23:00,17536.77,11305.11,8165.99,10723.05,47730.93,N
01/27/2024,24:00,17249.57,10951.21,8175.46,10507.46,46883.71,N
01/26/2024,01:00,14225.51,9951.85,7849.98,9304.75,41332.10,N
01/26/2024,02:00,13795.11,9719.05,7940.23,9121.11,40575.50,N
01/26/2024,03:00,13612.62,9601.57,7906.68,9025.63,40146.51,N
01/26/2024,04:00,13646.88,9579.04,7837.95,9026.71,40090.58,N
01/26/2024,05:00,13944.06,9774.34,7899.94,9178.39,40796.74,N
01/26/2024,06:00,14910.68,10329.75,8055.46,9691.79,42987.67,N
01/26/2024,07:00,16283.11,11267.74,8216.87,10377.09,46144.81,N
01/26/2024,08:00,17078.61,11779.09,8169.20,10745.72,47772.63,N
01/26/2024,09:00,17131.71,11778.44,8142.39,10848.65,47901.19,N
01/26/2024,10:00,17187.55,11807.63,8036.68,11017.43,48049.28,N
01/26/2024,11:00,17153.45,11820.01,7983.83,11000.98,47958.27,N
01/26/2024,12:00,16970.93,11725.69,7946.20,10965.00,47607.82,N
01/26/2024,13:00,16950.90,11670.85,7976.09,10940.61,47538.45,N
01/26/2024,14:00,16863.64,11486.46,8067.50,10993.00,47410.61,N
