datetime,station_code,station_name,city,region,temp_f,humidity_pct,dew_point_f,feels_like_f,precip_in,rain_in,snow_in,cloud_cover_pct,wind_speed_mph,wind_dir_deg,wind_gust_mph,pressure_hpa,wmo_code,visibility_mi,condition
2025-12-01 00:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,37.6,75,30.4,32.0,0.012,0.012,0.0,100,3.7,27,11.9,1004.8,51,,Light drizzle
2025-12-01 01:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,37.9,73,30.1,31.8,0.0,0.0,0.0,100,4.8,30,9.4,1004.0,3,,Overcast
2025-12-01 02:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,38.1,72,29.8,32.7,0.0,0.0,0.0,100,3.1,19,10.3,1003.7,3,,Overcast
2025-12-01 03:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,37.7,82,32.7,32.4,0.276,0.276,0.0,100,3.8,43,8.9,1002.8,63,,Moderate rain
2025-12-01 04:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,37.3,88,34.2,32.0,0.055,0.055,0.0,100,4.4,41,11.4,1001.9,61,,Slight rain
2025-12-01 05:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,37.8,85,33.8,32.2,0.02,0.02,0.0,100,4.8,12,9.8,1001.6,53,,Moderate drizzle
2025-12-01 06:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,37.5,89,34.5,32.5,0.0,0.0,0.0,100,3.8,360,10.7,1001.1,3,,Overcast
2025-12-01 07:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,37.8,88,34.6,32.8,0.016,0.016,0.0,100,3.9,5,8.7,1001.5,51,,Light drizzle
2025-12-01 08:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,38.1,86,34.4,33.0,0.012,0.012,0.0,100,4.1,9,9.2,1001.3,51,,Light drizzle
2025-12-01 09:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,38.8,83,34.0,33.4,0.004,0.004,0.0,100,4.6,51,10.5,1001.1,51,,Light drizzle
2025-12-01 10:00:00,KDFW,Dallas / Fort Worth Intl,Dallas,DFW,39.8,79,33.9,34.3,0.0,0.0,0.0,100,4.7,69,12.3,1000.7,3,,Overcast
