datetime,station_code,station_name,city,region,temp_f,humidity_pct,dew_point_f,feels_like_f,precip_in,rain_in,snow_in,cloud_cover_pct,wind_speed_mph,wind_dir_deg,wind_gust_mph,pressure_hpa,wmo_code,visibility_mi,condition
2025-12-01 00:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,46.3,58,32.5,39.9,0.0,0.0,0.0,100,6.4,36,13.4,995.2,3,,Overcast
2025-12-01 01:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,45.3,63,33.4,38.9,0.0,0.0,0.0,100,6.6,35,13.9,994.2,3,,Overcast
2025-12-01 02:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,45.0,65,33.9,38.9,0.0,0.0,0.0,100,6.1,28,14.3,993.8,3,,Overcast
2025-12-01 03:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,44.8,66,34.0,39.4,0.0,0.0,0.0,100,4.3,31,13.0,993.5,3,,Overcast
2025-12-01 04:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,44.7,66,34.1,39.0,0.0,0.0,0.0,100,5.2,30,11.6,992.8,3,,Overcast
2025-12-01 05:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,44.6,68,34.5,39.4,0.0,0.0,0.0,100,4.2,29,10.7,992.5,3,,Overcast
2025-12-01 06:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,43.6,68,33.9,38.0,0.0,0.0,0.0,100,5.1,35,9.8,992.4,3,,Overcast
2025-12-01 07:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,43.2,72,34.8,37.8,0.0,0.0,0.0,100,4.8,31,11.6,992.3,3,,Overcast
2025-12-01 08:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,43.7,73,35.8,38.8,0.0,0.0,0.0,100,4.1,24,10.5,992.9,3,,Overcast
2025-12-01 09:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,44.4,74,36.7,39.5,0.0,0.0,0.0,100,4.5,6,10.7,992.9,3,,Overcast
2025-12-01 10:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,45.5,74,37.8,40.7,0.0,0.0,0.0,100,4.7,4,11.9,992.7,3,,Overcast
2025-12-01 11:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,47.0,74,39.3,43.3,0.0,0.0,0.0,100,2.8,7,11.2,992.2,3,,Overcast
2025-12-01 12:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,44.2,82,39.1,40.4,0.0,0.0,0.0,100,2.9,18,8.3,990.7,3,,Overcast
2025-12-01 13:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,46.0,80,40.3,42.5,0.0,0.0,0.0,100,2.7,28,8.5,989.5,3,,Overcast
2025-12-01 14:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,48.0,77,41.3,44.1,0.0,0.0,0.0,100,4.1,357,10.5,989.0,3,,Overcast
2025-12-01 15:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,48.7,77,41.7,44.9,0.0,0.0,0.0,100,4.3,2,10.5,988.7,3,,Overcast
2025-12-01 16:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,49.2,77,42.2,45.5,0.0,0.0,0.0,100,4.1,19,10.1,988.3,3,,Overcast
2025-12-01 17:00:00,KSAT,San Antonio Intl,San Antonio,San Antonio,49.5,77,42.4,45.7,0.0,0.0,0.0,100,4.4,58,9.6,988.4,3,,Overcast
